"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CHEFZ_ITEM_CHEESEPRESS_DESC","A press with a spindle. Turns milk into a firm wheel of cheese.","A press with a spindle. Turns milk into a firm wheel of cheese.","Lis se šroubovým vřetenem. Promění mléko v pevný bochník sýra.","Eine Presse mit Spindel. Macht aus Milch einen festen Käselaib.","Пресс с винтовым шпинделем. Превращает молоко в плотную головку сыра.","Prasa ze śrubowym wrzecionem. Zamienia mleko w zwartą głowę sera.","Orsós prés. A tejből tömör sajtkorongot formál.","Una pressa a vite. Trasforma il latte in una forma compatta di formaggio.","Una prensa de husillo. Convierte la leche en una rueda firme de queso.","Une presse à vis. Transforme le lait en une meule de fromage bien ferme.","附有螺桿的壓製器。把牛奶壓成結實的圓形起司。","ねじ式の圧搾機。牛乳を固いホール状のチーズに変える。","Uma prensa de fuso. Transforma o leite numa peça firme de queijo.","带有螺杆的压制器。把牛奶压成结实的圆形奶酪。",
"STR_CHEFZ_PROC_SEPARATE_CREAM","Separate cream","Separate cream","Sebrat smetanu","Milch abrahmen","Снять сливки","Zbierz śmietanę","Tejszín lefölözése","Screma il latte","Desnatar la leche","Écrémer le lait","分離鮮奶油","生クリームを分離する","Separar o creme","分离稀奶油",
"STR_CHEFZ_PROC_CHURN_BUTTER","Churn butter","Churn butter","Stlouct máslo","Butter schlagen","Сбить масло","Ubij masło","Vaj köpülése","Sbatti il burro","Batir mantequilla","Baratter le beurre","攪製奶油","バターを攪拌する","Bater manteiga","搅制黄油",
"STR_CHEFZ_PROC_PRESS_CHEESE","Press cheese","Press cheese","Vylisovat sýr","Käse pressen","Спрессовать сыр","Sprasuj ser","Sajt préselése","Pressa il formaggio","Prensar queso","Presser le fromage","壓製起司","チーズを圧搾する","Prensar queijo","压制奶酪",
"STR_CHEFZ_ITEM_MORTAR","Mortar and Pestle","Mortar and Pestle","Hmoždíř s tloučkem","Mörser und Stößel","Ступка с пестиком","Moździerz z tłuczkiem","Mozsár és mozsártörő","Mortaio e pestello","Mortero y mano","Mortier et pilon","研缽與研杵","すり鉢とすりこぎ","Almofariz e pilão","研钵与研杵",
"STR_CHEFZ_ITEM_MORTAR_DESC","A heavy stone bowl. Grinds peppercorns, dried paprika and dried herbs.","A heavy stone bowl. Grinds peppercorns, dried paprika and dried herbs.","Těžká kamenná miska. Drtí kuličky pepře, sušenou papriku a sušené bylinky.","Eine schwere Steinschale. Zermahlt Pfefferkörner, getrocknete Paprika und getrocknete Kräuter.","Тяжёлая каменная чаша. Растирает горошины перца, сушёную паприку и сушёные травы.","Ciężka kamienna misa. Rozciera ziarna pieprzu, suszoną paprykę i suszone zioła.","Nehéz kőtál. Borsszemeket, szárított paprikát és szárított fűszernövényeket őröl.","Una pesante ciotola di pietra. Macina grani di pepe, paprica essiccata ed erbe secche.","Un cuenco pesado de piedra. Muele granos de pimienta, pimentón seco y hierbas secas.","Un lourd bol en pierre. Broie les grains de poivre, le paprika séché et les herbes sèches.","沉重的石缽。可以磨碎胡椒粒、乾燥紅椒與乾燥香草。","重い石臼。粒胡椒や乾燥パプリカ、乾燥ハーブをすりつぶす。","Uma tigela pesada de pedra. Mói grãos de pimenta, páprica seca e ervas secas.","沉重的石钵。可以磨碎胡椒粒、干燥红椒与干燥香草。",
"STR_CHEFZ_ITEM_DRYINGRACK","Drying Rack","Drying Rack","Sušicí rám","Trockenrahmen","Сушильная рама","Rama do suszenia","Szárítóállvány","Essiccatoio","Bastidor de secado","Séchoir","乾燥架","乾燥ラック","Grade de secagem","干燥架",
"STR_CHEFZ_ITEM_DRYINGRACK_DESC","A wooden rack. Dries herbs, peppers and paprika without a fire.","A wooden rack. Dries herbs, peppers and paprika without a fire.","Dřevěný rám. Suší bylinky, pepř a papriku i bez ohně.","Ein Holzrahmen. Trocknet Kräuter, Pfeffer und Paprika ganz ohne Feuer.","Деревянная рама. Сушит травы, перец и паприку без огня.","Drewniana rama. Suszy zioła, pieprz i paprykę bez ognia.","Fa állvány. Tűz nélkül szárít fűszernövényeket, borsot és paprikát.","Un telaio di legno. Essicca erbe, pepe e paprica senza bisogno di fuoco.","Un bastidor de madera. Seca hierbas, pimienta y pimentón sin fuego.","Un cadre en bois. Sèche herbes, poivre et paprika sans le moindre feu.","木製架子。不用生火就能乾燥香草、胡椒與紅椒。","木製の棚。火を使わずにハーブや胡椒、パプリカを乾かす。","Uma grade de madeira. Seca ervas, pimenta e páprica sem precisar de fogo.","木制架子。不用生火就能干燥香草、胡椒与红椒。",
"STR_CHEFZ_PROC_DRY","Dry","Dry","Sušit","Trocknen","Сушить","Susz","Szárítás","Essicca","Secar","Sécher","乾燥","乾燥させる","Secar","干燥",
"STR_CHEFZ_PROC_GRIND_SPICE","Grind spice","Grind spice","Namlít koření","Gewürz mahlen","Смолоть пряности","Zmiel przyprawy","Fűszer őrlése","Macina le spezie","Moler especias","Moudre les épices","研磨香料","香辛料を挽く","Moer especiarias","研磨香料",
"STR_CHEFZ_PROC_GRIND_HERB","Grind herbs","Grind herbs","Nadrtit bylinky","Kräuter mahlen","Растереть травы","Zetrzyj zioła","Fűszernövények őrlése","Macina le erbe","Moler hierbas","Moudre les herbes","研磨香草","ハーブをすりつぶす","Moer ervas","研磨香草",
"STR_CHEFZ_ITEM_SALTPAN","Salt Boiling Pan","Salt Boiling Pan","Pánev na vaření soli","Salzsiedepfanne","Солеварная сковорода","Panew warzelna","Sófőző serpenyő","Padella per bollire il sale","Sartén salinera","Poêle à sel","煮鹽鍋","製塩鍋","Tacho para ferver sal","煮盐锅",
"STR_CHEFZ_ITEM_SALTPAN_DESC","A wide, shallow pan. Set it next to a burning fire and boil sea water down to salt.","A wide, shallow pan. Set it next to a burning fire and boil sea water down to salt.","Široká mělká pánev. Postav ji k hořícímu ohni a vyvař mořskou vodu na sůl.","Eine breite, flache Pfanne. Neben ein brennendes Feuer gestellt siedet sie Meerwasser zu Salz ein.","Широкая мелкая сковорода. Поставь её у горящего костра и выпари морскую воду до соли.","Szeroka, płytka panew. Ustaw ją przy palącym się ognisku i odparuj wodę morską do soli.","Széles, sekély serpenyő. Állítsd égő tűz mellé, és forrald ki a tengervizet sóvá.","Una padella larga e bassa. Mettila accanto a un fuoco acceso e fai evaporare l'acqua di mare fino al sale.","Una sartén ancha y poco profunda. Colócala junto a un fuego encendido y evapora el agua de mar hasta obtener sal.","Une poêle large et peu profonde. Place-la près d'un feu allumé et fais évaporer l'eau de mer jusqu'au sel.","又寬又淺的鍋子。放在燃燒的火堆旁，把海水熬乾成鹽。","幅広で浅い鍋。燃えている焚き火のそばに置き、海水を煮詰めて塩にする。","Um tacho largo e raso. Coloque-o ao lado de uma fogueira acesa e evapore a água do mar até virar sal.","又宽又浅的锅子。放在燃烧的火堆旁，把海水熬干成盐。",
"STR_CHEFZ_PROC_BOIL_BRINE","Boil brine","Boil brine","Vyvařit solanku","Sole sieden","Выварить рассол","Wygotuj solankę","Sólé főzése","Fai bollire la salamoia","Hervir salmuera","Faire bouillir la saumure","熬煮鹽滷","塩水を煮詰める","Ferver salmoura","熬煮盐卤",
"STR_CHEFZ_PROC_DRY_SALT","Dry salt","Dry salt","Vysušit sůl","Salz trocknen","Высушить соль","Wysusz sól","Só szárítása","Asciuga il sale","Secar sal","Sécher le sel","乾燥鹽粒","塩を乾かす","Secar sal","干燥盐粒",
"STR_CHEFZ_ITEM_MEATGRINDER0","Meat Grinder","Meat Grinder","Mlýnek na maso","Fleischwolf","Мясорубка","Maszynka do mięsa","Húsdaráló","Tritacarne","Picadora de carne","Hachoir à viande","絞肉機","肉挽き器","Moedor de carne","绞肉机",
"STR_CHEFZ_ITEM_MEATGRINDER1","A hand-cranked grinder. Turns meat into mince and stuffs casings.","A hand-cranked grinder. Turns meat into mince and stuffs casings.","Mlýnek na kliku. Mele maso na mleté a plní střívka.","Ein handbetriebener Wolf. Macht aus Fleisch Hack und füllt Wursthüllen.","Мясорубка с ручной рукояткой. Перекручивает мясо в фарш и набивает оболочки.","Maszynka z ręczną korbą. Miele mięso na mielone i nadziewa jelita.","Kézi hajtókaros daráló. A húsból darált húst csinál, és bélbe tölti.","Un tritacarne a manovella. Trasforma la carne in macinato e insacca i budelli.","Una picadora de manivela. Convierte la carne en picada y embute las tripas.","Un hachoir à manivelle. Transforme la viande en hachis et remplit les boyaux.","手搖式絞肉機。把肉絞成絞肉，也能灌進腸衣。","手回し式のミンサー。肉をひき肉にし、腸詰めもできる。","Um moedor de manivela. Transforma carne em moída e enche as tripas.","手摇式绞肉机。把肉绞成肉馅，也能灌进肠衣。",
"STR_CHEFZ_PROC_CUT_MEAT","Cut meat","Cut meat","Nakrájet maso","Fleisch schneiden","Нарезать мясо","Pokrój mięso","Hús felvágása","Taglia la carne","Cortar carne","Découper la viande","切割肉塊","肉を切る","Cortar carne","切割肉块",
"STR_CHEFZ_PROC_GRIND_MEAT","Grind meat","Grind meat","Semlít maso","Fleisch wolfen","Перемолоть мясо","Zmiel mięso","Hús darálása","Macina la carne","Picar carne","Hacher la viande","絞碎肉塊","肉を挽く","Moer carne","绞碎肉块",
"STR_CHEFZ_PROC_STUFF_SAUSAGE","Stuff sausage","Stuff sausage","Naplnit klobásu","Wurst füllen","Набить колбасу","Nadziej kiełbasę","Kolbász töltése","Insacca la salsiccia","Embutir salchicha","Embosser la saucisse","灌製香腸","ソーセージを詰める","Encher linguiça","灌制香肠",
"STR_CHEFZ_PROC_CLEAN_CASING","Clean casings","Clean casings","Vyčistit střívka","Wursthüllen reinigen","Очистить оболочки","Oczyść jelita","Belek tisztítása","Pulisci i budelli","Limpiar tripas","Nettoyer les boyaux","清洗腸衣","腸を洗う","Limpar tripas","清洗肠衣",
"STR_CHEFZ_PROC_ASSEMBLE","Assemble","Assemble","Sestavit","Zusammenbauen","Собрать","Złóż","Összeszerelés","Assembla","Ensamblar","Assembler","組裝","組み立てる","Montar","组装",
"STR_CHEFZ_ITEM_SMOKER0","Smoker","Smoker","Udírna","Räucherschrank","Коптильня","Wędzarnia","Füstölő","Affumicatoio","Ahumadero","Fumoir","煙燻櫃","燻製器","Defumador","烟熏柜",
"STR_CHEFZ_ITEM_SMOKER1","A wooden cabinet for cold smoking. Needs a fire burning next to it.","A wooden cabinet for cold smoking. Needs a fire burning next to it.","Dřevěná skříň na studené uzení. Potřebuje vedle sebe hořící oheň.","Ein Holzschrank zum Kalt Räuchern. Braucht ein brennendes Feuer daneben.","Деревянный шкаф для холодного копчения. Рядом должен гореть костёр.","Drewniana szafa do wędzenia na zimno. Obok musi płonąć ognisko.","Fából készült szekrény hideg füstöléshez. Égő tűznek kell mellette lennie.","Un armadio di legno per l'affumicatura a freddo. Serve un fuoco acceso accanto.","Un armario de madera para ahumado en frío. Necesita un fuego encendido al lado.","Une armoire en bois pour le fumage à froid. Il faut un feu allumé juste à côté.","用於冷燻的木櫃。旁邊必須有燃燒的火堆。","冷燻用の木製キャビネット。すぐ隣で火が燃えている必要がある。","Um armário de madeira para defumação a frio. Precisa de uma fogueira acesa ao lado.","用于冷熏的木柜。旁边必须有燃烧的火堆。",
"STR_CHEFZ_PROC_SMOKE","Smoke","Smoke","Udit","Räuchern","Коптить","Wędź","Füstölés","Affumica","Ahumar","Fumer","煙燻","燻製にする","Defumar","烟熏",
"STR_CHEFZ_PROC_SALT_CURE","Cure with salt","Cure with salt","Naložit do soli","Mit Salz pökeln","Засолить","Zapekluj w soli","Sóban pácolás","Metti sotto sale","Curar con sal","Mettre au sel","用鹽醃漬","塩漬けにする","Curar com sal","用盐腌渍",
"STR_CHEFZ_ITEM_HONEYEXTRACTOR","Honey Extractor","Honey Extractor","Medomet","Honigschleuder","Медогонка","Miodarka","Mézpergető","Smielatore","Extractor de miel","Extracteur de miel","搖蜜機","遠心分離器","Centrífuga de mel","摇蜜机",
"STR_CHEFZ_ITEM_HONEYEXTRACTOR_DESC","A hand-cranked drum. Put an uncapped frame and an empty bottle inside and turn.","A hand-cranked drum. Put an uncapped frame and an empty bottle inside and turn.","Ruční buben na kliku. Vlož dovnitř odvíčkovaný rámek a prázdnou láhev a toč.","Eine Handkurbeltrommel. Entdeckeltes Rähmchen und leere Flasche hinein, dann kurbeln.","Барабан с ручным приводом. Положи внутрь распечатанную рамку и пустую бутылку и крути.","Bęben z ręczną korbą. Włóż odsklepioną ramkę i pustą butelkę, a potem kręć.","Kézi hajtókaros dob. Tegyél bele egy fedelezetlen keretet és egy üres üveget, aztán hajtsd.","Un tamburo a manovella. Metti dentro un telaino disopercolato e una bottiglia vuota e gira.","Un tambor de manivela. Mete un cuadro desoperculado y una botella vacía y dale vueltas.","Un tambour à manivelle. Mets-y un cadre désoperculé et une bouteille vide, puis tourne.","手搖式滾筒。放進割了蓋的巢框和空瓶子，然後搖。","手回し式のドラム。蜜蓋を削った巣枠と空き瓶を入れて回す。","Um tambor de manivela. Ponha dentro um quadro desoperculado e uma garrafa vazia e gire.","手摇式滚筒。放进割了盖的巢框和空瓶子，然后摇。",
"STR_CHEFZ_PROC_SPIN_HONEY","Spin Out the Honey","Spin Out the Honey","Vytočit med","Honig schleudern","Откачать мёд","Wirować miód","Méz pergetése","Smielare","Centrifugar la miel","Extraire le miel","搖出蜂蜜","蜂蜜を絞り出す","Centrifugar o mel","摇出蜂蜜",
