"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CHEFZ_ITEM_CARROT_DESC","A crisp carrot. Edible raw, better in a stew.","A crisp carrot. Edible raw, better in a stew.","Křupavá mrkev. Syrová se dá jíst, v dušeném pokrmu chutná líp.","Eine knackige Karotte. Roh essbar, im Eintopf besser.","Хрустящая морковь. Можно есть сырой, но в рагу лучше.","Chrupiąca marchew. Można jeść na surowo, ale w gulaszu lepsza.","Ropogós sárgarépa. Nyersen is ehető, raguban jobb.","Una carota croccante. Si mangia cruda, ma in umido è meglio.","Una zanahoria crujiente. Se puede comer cruda, mejor en un guiso.","Une carotte croquante. Elle se mange crue, mais elle est meilleure en ragoût.","爽脆的胡蘿蔔。生吃也行，燉煮更好。","歯ごたえのあるニンジン。生でも食べられるが、煮込みの方がうまい。","Uma cenoura crocante. Dá para comer crua, mas fica melhor no ensopado.","爽脆的胡萝卜。生吃也行，炖煮更好。",
"STR_CHEFZ_ITEM_CORN","Corn","Corn","Kukuřice","Mais","Кукуруза","Kukurydza","Kukorica","Mais","Maíz","Maïs","玉米","トウモロコシ","Milho","玉米",
"STR_CHEFZ_ITEM_CORN_DESC","A corn cob. Filling in a stew, and a grain mill turns it into flour.","A corn cob. Filling in a stew, and a grain mill turns it into flour.","Kukuřičný klas. Zasytí v guláši a v mlýnku z něj bude mouka.","Ein Maiskolben. Sättigt im Eintopf, und eine Getreidemühle macht Mehl daraus.","Кукурузный початок. Сытный в рагу, а мельница превратит его в муку.","Kolba kukurydzy. Syci w gulaszu, a młynek zmieli ją na mąkę.","Kukoricacső. Laktató a raguban, a malom pedig lisztté őrli.","Una pannocchia. Sazia nello stufato e un mulino la trasforma in farina.","Una mazorca de maíz. Llena en un guiso y un molino la convierte en harina.","Un épi de maïs. Nourrissant en ragoût, et un moulin le transforme en farine.","一根玉米。燉菜裡很頂飽，用磨坊可以磨成麵粉。","トウモロコシ。煮込みに入れると腹持ちがよく、製粉機で粉にもなる。","Uma espiga de milho. Sustenta no ensopado e um moinho a transforma em farinha.","一根玉米。炖菜里很顶饱，用磨坊可以磨成面粉。",
"STR_CHEFZ_ITEM_CABBAGE","Cabbage","Cabbage","Hlávka zelí","Kohlkopf","Кочан капусты","Główka kapusty","Káposztafej","Cavolo cappuccio","Repollo","Chou","高麗菜","キャベツ","Repolho","卷心菜",
"STR_CHEFZ_ITEM_CABBAGE_DESC","A heavy head of cabbage. Feeds several people.","A heavy head of cabbage. Feeds several people.","Těžká hlávka zelí. Nasytí několik lidí.","Ein schwerer Kohlkopf. Ernährt mehrere Leute.","Тяжёлый кочан капусты. Хватит на нескольких человек.","Ciężka główka kapusty. Wyżywi kilka osób.","Nehéz káposztafej. Több embert is jóllakat.","Un cavolo pesante. Sfama diverse persone.","Un repollo pesado. Da de comer a varias personas.","Un chou lourd. De quoi nourrir plusieurs personnes.","沉甸甸的一顆高麗菜。夠好幾個人吃。","ずっしりと重いキャベツ。数人分になる。","Um repolho pesado. Alimenta várias pessoas.","沉甸甸的一颗卷心菜。够好几个人吃。",
"STR_CHEFZ_ITEM_BEEHIVE","Beehive","Beehive","Úl","Bienenstock","Улей","Ul","Méhkas","Arnia","Colmena","Ruche","蜂箱","巣箱","Colmeia","蜂箱",
"STR_CHEFZ_ITEM_BEEHIVE_DESC","A wooden hive. Holds ten empty frames; the colony fills them one after another, four hours each.","A wooden hive. Holds ten empty frames; the colony fills them one after another, four hours each.","Dřevěný úl. Pojme deset prázdných rámků; včelstvo je plní jeden po druhém, každý čtyři hodiny.","Eine hölzerne Beute. Fasst zehn leere Rähmchen; das Volk füllt sie eines nach dem anderen, vier Stunden je Rähmchen.","Деревянный улей. Вмещает десять пустых рамок; пчёлы заполняют их одну за другой, по четыре часа на каждую.","Drewniany ul. Mieści dziesięć pustych ramek; rodzina wypełnia je jedną po drugiej, każdą przez cztery godziny.","Fa méhkas. Tíz üres keret fér bele; a család egymás után tölti fel őket, négy óra alatt egyet.","Un'arnia di legno. Contiene dieci telaini vuoti; la colonia li riempie uno dopo l'altro, quattro ore ciascuno.","Una colmena de madera. Cabe diez cuadros vacíos; la colonia los llena uno tras otro, cuatro horas cada uno.","Une ruche en bois. Elle contient dix cadres vides ; la colonie les remplit l'un après l'autre, quatre heures chacun.","木製蜂箱。可放十個空巢框；蜂群會一個接一個地填滿，每個四小時。","木製の巣箱。空の巣枠を十枚納められ、蜂群が一枚ずつ四時間かけて満たしていく。","Uma colmeia de madeira. Cabem dez quadros vazios; a colônia os enche um após o outro, quatro horas cada.","木制蜂箱。可放十个空巢框；蜂群会一个接一个地填满，每个四小时。",
"STR_CHEFZ_ITEM_BEEHIVEKIT","Beehive Kit","Beehive Kit","Stavebnice úlu","Bienenstock-Bausatz","Комплект улья","Zestaw do budowy ula","Méhkas-készlet","Kit per arnia","Kit de colmena","Kit de ruche","蜂箱組件","巣箱キット","Kit de colmeia","蜂箱组件",
"STR_CHEFZ_ITEM_BEEHIVEKIT_DESC","Boards and nails, packed flat. Set it up where the flowers are.","Boards and nails, packed flat. Set it up where the flowers are.","Prkna a hřebíky, sbalené naplocho. Postav to tam, kde kvete.","Bretter und Nägel, flach gepackt. Aufgestellt wird dort, wo es blüht.","Доски и гвозди, упакованные плашмя. Собирай там, где цветёт.","Deski i gwoździe, spakowane na płasko. Postaw to tam, gdzie kwitnie.","Deszkák és szögek, laposra csomagolva. Ott állítsd fel, ahol virágzik.","Assi e chiodi, impacchettati piatti. Montala dove ci sono i fiori.","Tablas y clavos, empaquetados planos. Móntala donde haya flores.","Planches et clous, à plat. Monte-la là où ça fleurit.","木板與釘子，平整打包。要架在有花的地方。","板と釘を平らに束ねたもの。花のある場所で組み立てる。","Tábuas e pregos, empacotados no plano. Monte onde houver flores.","木板与钉子，平整打包。要架在有花的地方。",
"STR_CHEFZ_ITEM_BEEHIVE_DOUBLE","Double Beehive","Double Beehive","Dvojitý úl","Doppelbeute","Двойной улей","Podwójny ul","Dupla méhkas","Arnia doppia","Colmena doble","Ruche double","雙層蜂箱","二段巣箱","Colmeia dupla","双层蜂箱",
"STR_CHEFZ_ITEM_BEEHIVE_DOUBLE_DESC","Two boxes stacked. Holds twenty frames; the colony fills them one after another.","Two boxes stacked. Holds twenty frames; the colony fills them one after another.","Dva nástavky na sobě. Pojme dvacet rámků; včelstvo je plní jeden po druhém.","Zwei Zargen übereinander. Fasst zwanzig Rähmchen; das Volk füllt sie eines nach dem anderen.","Два корпуса друг на друге. Вмещает двадцать рамок; пчёлы заполняют их одну за другой.","Dwa korpusy jeden na drugim. Mieści dwadzieścia ramek; rodzina wypełnia je jedną po drugiej.","Két fiók egymáson. Húsz keret fér bele; a család egymás után tölti fel őket.","Due melari impilati. Contiene venti telaini; la colonia li riempie uno dopo l'altro.","Dos alzas apiladas. Cabe veinte cuadros; la colonia los llena uno tras otro.","Deux corps empilés. Elle contient vingt cadres ; la colonie les remplit l'un après l'autre.","兩個箱體疊放。可放二十個巢框；蜂群會一個接一個地填滿。","二段重ねの巣箱。巣枠を二十枚納められ、蜂群が一枚ずつ満たしていく。","Duas caixas empilhadas. Cabem vinte quadros; a colônia os enche um após o outro.","两个箱体叠放。可放二十个巢框；蜂群会一个接一个地填满。",
"STR_CHEFZ_SLOT_FRAME","Comb Frame","Comb Frame","Rámek","Rähmchen","Рамка","Ramka","Keret","Telaino","Cuadro","Cadre","巢框","巣枠","Quadro","巢框",
"STR_CHEFZ_ITEM_COMBFRAME_EMPTY","Empty Comb Frame","Empty Comb Frame","Prázdný rámek","Leeres Rähmchen","Пустая рамка","Pusta ramka","Üres keret","Telaino vuoto","Cuadro vacío","Cadre vide","空巢框","空の巣枠","Quadro vazio","空巢框",
"STR_CHEFZ_ITEM_COMBFRAME_EMPTY_DESC","A bare wooden frame. Hang it in a hive and watch the bar fill.","A bare wooden frame. Hang it in a hive and watch the bar fill.","Holý dřevěný rámek. Zavěs ho do úlu a sleduj, jak se plní ukazatel.","Ein leeres Holzrähmchen. In den Stock hängen und zusehen, wie sich der Balken füllt.","Пустая деревянная рамка. Повесь её в улей и смотри, как заполняется полоска.","Naga drewniana ramka. Zawieś ją w ulu i patrz, jak wypełnia się pasek.","Csupasz fakeret. Akaszd a kasba, és nézd, ahogy telik a sáv.","Un telaino di legno nudo. Appendilo in un'arnia e guarda la barra riempirsi.","Un cuadro de madera vacío. Cuélgalo en una colmena y mira cómo se llena la barra.","Un cadre en bois nu. Suspends-le dans une ruche et regarde la jauge se remplir.","空的木製巢框。掛進蜂箱，看著進度條慢慢填滿。","何もない木の巣枠。巣箱に吊るし、ゲージが満ちるのを眺めよう。","Um quadro de madeira vazio. Pendure numa colmeia e veja a barra encher.","空的木制巢框。挂进蜂箱，看着进度条慢慢填满。",
"STR_CHEFZ_ITEM_COMBFRAME_FULL","Full Comb Frame","Full Comb Frame","Plný rámek","Volles Rähmchen","Полная рамка","Pełna ramka","Teli keret","Telaino pieno","Cuadro lleno","Cadre plein","滿蜜巢框","満蜜の巣枠","Quadro cheio","满蜜巢框",
"STR_CHEFZ_ITEM_COMBFRAME_FULL_DESC","Capped and heavy. Open the hive to take it out, then scratch the caps off.","Capped and heavy. Open the hive to take it out, then scratch the caps off.","Zavíčkovaný a těžký. Otevři úl, vyjmi ho a pak seškrábni víčka.","Verdeckelt und schwer. Den Stock öffnen, um es herauszunehmen, dann entdeckeln.","Запечатана и тяжёлая. Открой улей, чтобы вынуть её, затем распечатай соты.","Zasklepiona i ciężka. Otwórz ul, by ją wyjąć, potem odsklep.","Fedelezett és nehéz. Nyisd ki a kast, vedd ki, majd szedd le a fedelet.","Opercolato e pesante. Apri l'arnia per estrarlo, poi disopercolalo.","Operculado y pesado. Abre la colmena para sacarlo y luego desopercúlalo.","Operculé et lourd. Ouvre la ruche pour le sortir, puis désopercule-le.","已封蓋且沉重。打開蜂箱取出，再割掉蜜蓋。","蜜蓋が掛かり重い。巣箱を開けて取り出し、蜜蓋を削ろう。","Operculado e pesado. Abra a colmeia para tirá-lo e depois desopercule.","已封盖且沉重。打开蜂箱取出，再割掉蜜盖。",
"STR_CHEFZ_ITEM_COMBFRAME_UNCAPPED","Uncapped Comb Frame","Uncapped Comb Frame","Odvíčkovaný rámek","Entdeckeltes Rähmchen","Распечатанная рамка","Odsklepiona ramka","Fedelezetlen keret","Telaino disopercolato","Cuadro desoperculado","Cadre désoperculé","割蓋巢框","蜜蓋を切った巣枠","Quadro desoperculado","割盖巢框",
"STR_CHEFZ_ITEM_COMBFRAME_UNCAPPED_DESC","Open cells, dripping. Ready for the extractor.","Open cells, dripping. Ready for the extractor.","Otevřené buňky, kape z nich. Připraveno do medometu.","Offene Zellen, es tropft. Fertig für die Schleuder.","Ячейки вскрыты, мёд капает. Готово для медогонки.","Otwarte komórki, kapie z nich. Gotowe do miodarki.","Nyitott sejtek, csöpög. Mehet a pergetőbe.","Celle aperte, gocciola. Pronto per lo smielatore.","Celdas abiertas, goteando. Listo para el extractor.","Alvéoles ouvertes, ça coule. Prêt pour l'extracteur.","蜂室已開，正在滴蜜。可以送進搖蜜機了。","巣房が開き、蜜が滴っている。遠心分離器に入れられる。","Alvéolos abertos, pingando. Pronto para a centrífuga.","蜂室已开，正在滴蜜。可以送进摇蜜机了。",
"STR_CHEFZ_ITEM_UNCAPPINGFORK","Uncapping Fork","Uncapping Fork","Odvíčkovací vidlička","Entdeckelungsgabel","Вилка для распечатывания","Widelec do odsklepiania","Fedelezővilla","Forchetta disopercolatrice","Tenedor desoperculador","Fourchette à désoperculer","割蜜叉","蜜蓋かき器","Garfo desoperculador","割蜜叉",
"STR_CHEFZ_ITEM_UNCAPPINGFORK_DESC","Nails driven through a stick. It opens the wax caps without crushing the comb.","Nails driven through a stick. It opens the wax caps without crushing the comb.","Hřebíky proražené klackem. Otevře voskové víčko, aniž by rozmačkal plást.","Nägel durch einen Stiel getrieben. Sie öffnet die Wachsdeckel, ohne die Wabe zu zerdrücken.","Гвозди, вбитые в палку. Вскрывает восковые крышечки, не сминая соты.","Gwoździe wbite w kij. Otwiera woskowe zasklepy, nie gniotąc plastra.","Egy botba vert szögek. Felnyitja a viaszfedelet anélkül, hogy összenyomná a lépet.","Chiodi piantati in un bastone. Apre gli opercoli di cera senza schiacciare il favo.","Clavos atravesados en un palo. Abre los opérculos de cera sin aplastar el panal.","Des clous plantés dans un bâton. Elle ouvre les opercules sans écraser le rayon.","把釘子釘進木棍做成的。能挑開蠟蓋而不壓壞蜂巢。","棒に釘を打ち込んだもの。巣を潰さずに蝋蓋を開ける。","Pregos cravados num pau. Abre os opérculos de cera sem esmagar o favo.","把钉子钉进木棍做成的。能挑开蜡盖而不压坏蜂巢。",
"STR_CHEFZ_ITEM_BEESMOKER","Bee Smoker","Bee Smoker","Dýmák","Imkerpfeife","Дымарь","Podkurzacz","Füstölő","Affumicatore","Ahumador","Enfumoir","蜂煙燻器","燻煙器","Fumigador","蜂烟熏器",
"STR_CHEFZ_ITEM_BEESMOKER_DESC","A tin can with bellows. Stuff it with bark, light it, and hold it while working at the hive - only a smoking one keeps the colony calm.","A tin can with bellows. Stuff it with bark, light it, and hold it while working at the hive - only a smoking one keeps the colony calm.","Plechovka s měchem. Naplň ji kůrou, zapal a drž v ruce při práci u úlu - jen kouřící uklidní včelstvo.","Eine Blechdose mit Blasebalg. Mit Rinde stopfen, anzünden und bei der Arbeit am Stock in der Hand halten - nur eine rauchende hält das Volk ruhig.","Жестянка с мехами. Набей корой, подожги и держи в руке у улья - только дымящий дымарь успокаивает пчёл.","Puszka z miechem. Napełnij korą, zapal i trzymaj w ręce przy ulu - tylko dymiący uspokaja rój.","Bádogdoboz fújtatóval. Tömd meg kéreggel, gyújtsd meg, és tartsd a kezedben a kaptárnál - csak a füstölő nyugtatja meg a családot.","Una latta con mantice. Riempila di corteccia, accendila e tienila in mano all'arnia - solo se fuma calma la colonia.","Una lata con fuelle. Llénala de corteza, enciéndela y sostenla junto a la colmena - solo humeando calma a la colonia.","Une boîte avec soufflet. Bourre-la d'écorce, allume-la et garde-la en main à la ruche - seul un enfumoir qui fume calme la colonie.","帶風箱的鐵罐。塞入樹皮並點燃，在蜂箱旁拿在手中——只有冒煙時才能安撫蜂群。","ふいご付きの缶。樹皮を詰めて火をつけ、巣箱の作業中に手に持つ。煙が出ているときだけ群れは静まる。","Uma lata com fole. Encha com casca, acenda e segure na mão junto à colmeia - só a fumegar acalma a colónia.","带风箱的铁罐。塞入树皮并点燃，在蜂箱旁拿在手中——只有冒烟时才能安抚蜂群。",
"STR_CHEFZ_PROC_BUILD_HIVE_KIT","Assemble Hive Kit","Assemble Hive Kit","Sestavit stavebnici úlu","Bienenstock-Bausatz bauen","Собрать комплект улья","Złożyć zestaw ula","Méhkas-készlet összeállítása","Assemblare il kit per arnia","Montar kit de colmena","Assembler le kit de ruche","組裝蜂箱組件","巣箱キットを組む","Montar kit de colmeia","组装蜂箱组件",
"STR_CHEFZ_PROC_RAISE_HIVE","Set Up Beehive","Set Up Beehive","Postavit úl","Bienenstock aufstellen","Установить улей","Postawić ul","Méhkas felállítása","Montare l'arnia","Instalar la colmena","Installer la ruche","架設蜂箱","巣箱を据える","Montar a colmeia","架设蜂箱",
"STR_CHEFZ_PROC_EXTEND_HIVE","Set Up Double Beehive","Set Up Double Beehive","Postavit dvojitý úl","Doppelbeute aufstellen","Установить двойной улей","Postawić podwójny ul","Dupla méhkas felállítása","Montare l'arnia doppia","Instalar la colmena doble","Installer la ruche double","架設雙層蜂箱","二段巣箱を据える","Montar a colmeia dupla","架设双层蜂箱",
"STR_CHEFZ_PROC_BUILD_FRAME","Build Comb Frame","Build Comb Frame","Vyrobit rámek","Rähmchen bauen","Сделать рамку","Zbić ramkę","Keret készítése","Costruire un telaino","Fabricar un cuadro","Fabriquer un cadre","製作巢框","巣枠を作る","Fabricar um quadro","制作巢框",
"STR_CHEFZ_PROC_BUILD_UNCAPPING_FORK","Build Uncapping Fork","Build Uncapping Fork","Vyrobit odvíčkovací vidličku","Entdeckelungsgabel bauen","Сделать вилку для распечатывания","Zrobić widelec do odsklepiania","Fedelezővilla készítése","Costruire una forchetta disopercolatrice","Fabricar un tenedor desoperculador","Fabriquer une fourchette à désoperculer","製作割蜜叉","蜜蓋かき器を作る","Fabricar um garfo desoperculador","制作割蜜叉",
"STR_CHEFZ_PROC_BUILD_BEE_SMOKER","Build Bee Smoker","Build Bee Smoker","Vyrobit dýmák","Imkerpfeife bauen","Сделать дымарь","Zrobić podkurzacz","Füstölő készítése","Costruire un affumicatore","Fabricar un ahumador","Fabriquer un enfumoir","製作蜂煙燻器","燻煙器を作る","Fabricar um fumigador","制作蜂烟熏器",
"STR_CHEFZ_PROC_HARVEST_HIVE","Open Hive","Open Hive","Otevřít úl","Bienenstock öffnen","Открыть улей","Otworzyć ul","Kas kinyitása","Aprire l'arnia","Abrir la colmena","Ouvrir la ruche","打開蜂箱","巣箱を開ける","Abrir a colmeia","打开蜂箱",
"STR_CHEFZ_PROC_PACK_HIVE","Pack Up Beehive","Pack Up Beehive","Rozebrat úl","Bienenstock abbauen","Разобрать улей","Rozebrać ul","Kas lebontása","Smontare l'arnia","Desmontar la colmena","Démonter la ruche","拆除蜂箱","巣箱を解体する","Desmontar a colmeia","拆除蜂箱",
"STR_CHEFZ_PROC_UNCAP_COMB","Uncap the Comb","Uncap the Comb","Odvíčkovat plást","Wabe entdeckeln","Распечатать соты","Odsklepić plaster","Lép felnyitása","Disopercolare il favo","Desopercular el panal","Désoperculer le rayon","割除蜜蓋","蜜蓋を削る","Desopercular o favo","割除蜜盖",
"STR_CHEFZ_PROC_FILL_SMOKER","Stuff the Smoker","Stuff the Smoker","Naplnit dýmák","Pfeife stopfen","Набить дымарь","Napełnić podkurzacz","Füstölő megtöltése","Riempire l'affumicatore","Llenar el ahumador","Bourrer l'enfumoir","填裝煙燻器","燻煙器に詰める","Encher o fumigador","填装烟熏器",
"STR_CHEFZ_ITEM_HANDRAKE","Hand Rake","Hand Rake","Ruční hrábě","Handrechen","Ручные грабли","Grabki ręczne","Kézi gereblye","Rastrello a mano","Rastrillo de mano","Râteau à main","手耙","手熊手","Ancinho de mão","手耙",
"STR_CHEFZ_ITEM_HANDRAKE_DESC","A small garden rake for working seedbeds.","A small garden rake for working seedbeds.","Malé hrábě na záhony.","Ein kleiner Gartenrechen für die Beetarbeit.","Небольшие грабли для грядок.","Małe grabki do grządek.","Kis gereblye a veteményeshez.","Piccolo rastrello per le aiuole.","Pequeño rastrillo para los bancales.","Petit râteau pour les plates-bandes.","打理苗床的小耙子。","苗床を整える小さな熊手。","Pequeno ancinho para os canteiros.","打理苗床的小耙子。",
"STR_CHEFZ_ITEM_CORNPLANT","Corn Plant","Corn Plant","Rostlina kukuřice","Maispflanze","Растение кукурузы","Roślina kukurydzy","Kukoricanövény","Pianta di mais","Planta de maíz","Plant de maïs","玉米植株","トウモロコシの株","Planta de milho","玉米植株",
