"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CHEFZ_ITEM_MINCEDCHICKEN0","Minced Chicken","Minced Chicken","Mleté kuřecí maso","Hähnchenhack","Куриный фарш","Mielone mięso z kurczaka","Darált csirkehús","Macinato di pollo","Carne picada de pollo","Poulet haché","雞絞肉","鶏ひき肉","Carne moída de frango","鸡肉馅",
"STR_CHEFZ_ITEM_MINCEDCHICKEN1","Ground poultry. Light and quick to cook.","Ground poultry. Light and quick to cook.","Mleté drůbeží maso. Lehké a rychle hotové.","Gewolftes Geflügel. Leicht und schnell gar.","Фарш из птицы. Лёгкий и быстро готовится.","Mielone mięso drobiowe. Lekkie i szybkie w przyrządzeniu.","Darált baromfihús. Könnyű és gyorsan elkészül.","Macinato di pollame. Leggero e veloce da cuocere.","Carne picada de ave. Ligera y de cocción rápida.","Volaille hachée. Légère et vite cuite.","禽肉絞肉。清淡，很快就熟。","鶏のひき肉。あっさりしていてすぐ火が通る。","Carne moída de ave. Leve e de preparo rápido.","禽肉绞肉。清淡，熟得快。",
"STR_CHEFZ_ITEM_MINCEDBEAR0","Minced Bear","Minced Bear","Mleté medvědí maso","Bärenhack","Фарш из медвежатины","Mielone mięso z niedźwiedzia","Darált medvehús","Macinato di orso","Carne picada de oso","Ours haché","熊絞肉","熊ひき肉","Carne moída de urso","熊肉馅",
"STR_CHEFZ_ITEM_MINCEDBEAR1","Ground bear meat. Heavy fare for a long march.","Ground bear meat. Heavy fare for a long march.","Mleté medvědí maso. Těžké jídlo na dlouhý pochod.","Gewolftes Bärenfleisch. Schwere Kost für lange Märsche.","Фарш из медвежатины. Тяжёлая еда для долгого перехода.","Mielone mięso z niedźwiedzia. Ciężki posiłek na długi marsz.","Darált medvehús. Nehéz étel hosszú menethez.","Macinato di orso. Cibo pesante per una lunga marcia.","Carne picada de oso. Comida pesada para una marcha larga.","Ours haché. Nourriture lourde pour une longue marche.","熊絞肉。適合長途跋涉的厚實糧食。","熊のひき肉。長い行軍に備える重たい食料。","Carne moída de urso. Comida pesada para uma longa caminhada.","熊肉馅。适合长途跋涉的厚实口粮。",
"STR_CHEFZ_ITEM_SAUSAGECASING0","Sausage Casing","Sausage Casing","Střívko","Wursthülle","Колбасная оболочка","Osłonka kiełbasiana","Kolbászbél","Budello per salsicce","Tripa para embutir","Boyau à saucisse","腸衣","ソーセージケーシング","Tripa para linguiça","肠衣",
"STR_CHEFZ_ITEM_SAUSAGECASING1","Cleaned intestine. Without it there is no sausage.","Cleaned intestine. Without it there is no sausage.","Vyčištěné střevo. Bez něj není klobása.","Gereinigter Darm. Ohne ihn gibt es keine Wurst.","Очищенная кишка. Без неё колбасы не будет.","Oczyszczone jelito. Bez niego nie ma kiełbasy.","Megtisztított bél. Enélkül nincs kolbász.","Budello pulito. Senza di esso non c'è salsiccia.","Tripa limpia. Sin ella no hay embutido.","Boyau nettoyé. Sans lui, pas de saucisse.","清洗乾淨的腸子。沒有它就灌不成香腸。","洗浄した腸。これがなければソーセージは作れない。","Tripa limpa. Sem ela não há linguiça.","清洗干净的肠子。没有它就灌不成香肠。",
"STR_CHEFZ_ITEM_RAWSAUSAGE0","Raw Sausage","Raw Sausage","Syrová klobása","Rohe Wurst","Сырая колбаса","Surowa kiełbasa","Nyers kolbász","Salsiccia cruda","Salchicha cruda","Saucisse crue","生香腸","生ソーセージ","Linguiça crua","生香肠",
"STR_CHEFZ_ITEM_RAWSAUSAGE1","A plain sausage, freshly stuffed. Cook it before eating.","A plain sausage, freshly stuffed. Cook it before eating.","Obyčejná klobása, čerstvě naplněná. Před jídlem ji tepelně uprav.","Eine einfache Wurst, frisch gefüllt. Vor dem Essen garen.","Простая колбаса, только что набитая. Перед едой приготовь её.","Zwykła kiełbasa, świeżo nadziana. Przed jedzeniem trzeba ją przyrządzić.","Egyszerű kolbász, frissen töltve. Fogyasztás előtt meg kell sütni.","Una salsiccia semplice, appena insaccata. Va cotta prima di mangiarla.","Una salchicha sencilla, recién embutida. Cocínala antes de comer.","Une saucisse simple, fraîchement embossée. À cuire avant de manger.","剛灌好的普通香腸。食用前要先煮熟。","詰めたばかりの素朴なソーセージ。食べる前に火を通すこと。","Uma linguiça simples, recém-embutida. Cozinhe antes de comer.","刚灌好的普通香肠。食用前要先做熟。",
"STR_CHEFZ_ITEM_RAWPORKSAUSAGE0","Raw Pork Sausage","Raw Pork Sausage","Syrová vepřová klobása","Rohe Schweinswurst","Сырая свиная колбаса","Surowa kiełbasa wieprzowa","Nyers sertéskolbász","Salsiccia di maiale cruda","Salchicha de cerdo cruda","Saucisse de porc crue","生豬肉香腸","生ポークソーセージ","Linguiça de porco crua","生猪肉香肠",
"STR_CHEFZ_ITEM_RAWPORKSAUSAGE1","Pork, salt and pepper in a casing.","Pork, salt and pepper in a casing.","Vepřové, sůl a pepř ve střívku.","Schwein, Salz und Pfeffer in der Hülle.","Свинина, соль и перец в оболочке.","Wieprzowina, sól i pieprz w osłonce.","Sertéshús, só és bors a bélben.","Maiale, sale e pepe nel budello.","Cerdo, sal y pimienta en tripa.","Porc, sel et poivre dans un boyau.","豬肉、鹽和胡椒灌進腸衣裡。","豚肉と塩、コショウを腸に詰めたもの。","Porco, sal e pimenta na tripa.","猪肉、盐和胡椒灌进肠衣里。",
"STR_CHEFZ_ITEM_RAWVENISONSAUSAGE0","Raw Venison Sausage","Raw Venison Sausage","Syrová jelení klobása","Rohe Wildwurst","Сырая оленья колбаса","Surowa kiełbasa z jelenia","Nyers szarvaskolbász","Salsiccia di cervo cruda","Salchicha de ciervo cruda","Saucisse de cerf crue","生鹿肉香腸","生鹿肉ソーセージ","Linguiça de veado crua","生鹿肉香肠",
"STR_CHEFZ_ITEM_RAWVENISONSAUSAGE1","Venison with thyme and pepper.","Venison with thyme and pepper.","Jelení maso s tymiánem a pepřem.","Wildfleisch mit Thymian und Pfeffer.","Оленина с тимьяном и перцем.","Mięso z jelenia z tymiankiem i pieprzem.","Szarvashús kakukkfűvel és borssal.","Carne di cervo con timo e pepe.","Carne de ciervo con tomillo y pimienta.","Viande de cerf au thym et au poivre.","鹿肉配百里香與胡椒。","鹿肉にタイムとコショウ。","Carne de veado com tomilho e pimenta.","鹿肉配百里香和胡椒。",
"STR_CHEFZ_ITEM_RAWBOARSAUSAGE0","Raw Boar Sausage","Raw Boar Sausage","Syrová klobása z divočáka","Rohe Wildschweinwurst","Сырая колбаса из кабана","Surowa kiełbasa z dzika","Nyers vaddisznókolbász","Salsiccia di cinghiale cruda","Salchicha de jabalí cruda","Saucisse de sanglier crue","生野豬香腸","生猪肉ソーセージ","Linguiça de javali crua","生野猪香肠",
"STR_CHEFZ_ITEM_RAWBOARSAUSAGE1","Wild boar with pepper and wild garlic.","Wild boar with pepper and wild garlic.","Divočák s pepřem a medvědím česnekem.","Wildschwein mit Pfeffer und Bärlauch.","Кабанина с перцем и черемшой.","Dzik z pieprzem i czosnkiem niedźwiedzim.","Vaddisznó borssal és medvehagymával.","Cinghiale con pepe e aglio orsino.","Jabalí con pimienta y ajo de oso.","Sanglier au poivre et à l'ail des ours.","野豬肉配胡椒與熊蔥。","猪肉にコショウとギョウジャニンニク。","Javali com pimenta e alho-urso.","野猪肉配胡椒和熊葱。",
"STR_CHEFZ_ITEM_RAWHUNTERSAUSAGE0","Raw Hunter Sausage","Raw Hunter Sausage","Syrová lovecká klobása","Rohe Jägerwurst","Сырые охотничьи колбаски","Surowa kiełbasa myśliwska","Nyers vadászkolbász","Salsiccia del cacciatore cruda","Salchicha de cazador cruda","Saucisse du chasseur crue","生獵人香腸","生の猟師ソーセージ","Linguiça de caçador crua","生猎人香肠",
"STR_CHEFZ_ITEM_RAWHUNTERSAUSAGE1","Wild meat and hunter seasoning. The hunter's own recipe.","Wild meat and hunter seasoning. The hunter's own recipe.","Zvěřina a lovecké koření. Recept samotných lovců.","Wildfleisch und Jägergewürz. Das Rezept der Jäger.","Дичь и охотничьи специи. Рецепт самих охотников.","Dziczyzna i myśliwska przyprawa. Przepis samych myśliwych.","Vadhús és vadászfűszer. A vadászok saját receptje.","Selvaggina e spezie del cacciatore. La ricetta dei cacciatori stessi.","Carne de caza y especias del cazador. La receta de los propios cazadores.","Gibier et épices du chasseur. La recette des chasseurs eux-mêmes.","野味搭配獵人香料。獵人自己的配方。","ジビエと猟師の香辛料。猟師に伝わる配合。","Carne de caça e temperos do caçador. A receita dos próprios caçadores.","野味配上猎人香料。猎人自己的配方。",
"STR_CHEFZ_ITEM_RAWSPICYSAUSAGE0","Raw Spicy Sausage","Raw Spicy Sausage","Syrová pikantní klobása","Rohe Pfefferwurst","Сырая острая колбаса","Surowa kiełbasa pikantna","Nyers csípős kolbász","Salsiccia piccante cruda","Chorizo picante crudo","Saucisse piquante crue","生辣味香腸","生スパイシーソーセージ","Linguiça picante crua","生辣味香肠",
"STR_CHEFZ_ITEM_RAWSPICYSAUSAGE1","Sharp with pepper and paprika powder.","Sharp with pepper and paprika powder.","Ostrá pepřem a mletou paprikou.","Scharf mit Pfeffer und Paprikapulver.","Острая от перца и молотой паприки.","Ostra od pieprzu i mielonej papryki.","Borstól és őrölt paprikától csípős.","Piccante di pepe e paprica in polvere.","Picante de pimienta y pimentón.","Relevée au poivre et au paprika.","以胡椒和紅椒粉調出的辛辣味。","コショウとパプリカパウダーでピリッと辛い。","Picante de pimenta e páprica.","用胡椒和辣椒粉调出的辛辣味。",
"STR_CHEFZ_ITEM_COOKEDSAUSAGE0","Cooked Sausage","Cooked Sausage","Opečená klobása","Gebratene Wurst","Жареная колбаса","Smażona kiełbasa","Sült kolbász","Salsiccia cotta","Salchicha asada","Saucisse grillée","熟香腸","焼きソーセージ","Linguiça assada","熟香肠",
"STR_CHEFZ_ITEM_COOKEDSAUSAGE1","Fried through and ready to eat.","Fried through and ready to eat.","Propečená a připravená k jídlu.","Durchgebraten und fertig zum Essen.","Прожарена насквозь и готова к еде.","Wysmażona na wskroś i gotowa do jedzenia.","Átsütve, fogyasztásra kész.","Cotta fino in fondo e pronta da mangiare.","Bien hecha y lista para comer.","Bien cuite et prête à manger.","煎至全熟，可以直接食用。","中まで焼けていて、すぐ食べられる。","Bem frita e pronta para comer.","煎到全熟，可以直接吃。",
"STR_CHEFZ_ITEM_PORKSAUSAGE0","Pork Sausage","Pork Sausage","Vepřová klobása","Schweinswurst","Свиная колбаса","Kiełbasa wieprzowa","Sertéskolbász","Salsiccia di maiale","Salchicha de cerdo","Saucisse de porc","豬肉香腸","ポークソーセージ","Linguiça de porco","猪肉香肠",
"STR_CHEFZ_ITEM_PORKSAUSAGE1","Fried pork sausage. Filling and hearty.","Fried pork sausage. Filling and hearty.","Opečená vepřová klobása. Sytá a vydatná.","Gebratene Schweinswurst. Sättigend und deftig.","Жареная свиная колбаса. Сытная и плотная.","Smażona kiełbasa wieprzowa. Sycąca i treściwa.","Sült sertéskolbász. Laktató és tartalmas.","Salsiccia di maiale cotta. Sostanziosa e saporita.","Salchicha de cerdo frita. Contundente y saciante.","Saucisse de porc grillée. Nourrissante et copieuse.","煎熟的豬肉香腸。份量紮實，很有飽足感。","焼いた豚肉ソーセージ。腹持ちがよく食べごたえがある。","Linguiça de porco frita. Substanciosa e saciante.","煎熟的猪肉香肠。分量扎实，很顶饱。",
"STR_CHEFZ_ITEM_VENISONSAUSAGE0","Venison Sausage","Venison Sausage","Jelení klobása","Wildwurst","Оленья колбаса","Kiełbasa z jelenia","Szarvaskolbász","Salsiccia di cervo","Salchicha de ciervo","Saucisse de cerf","鹿肉香腸","鹿肉ソーセージ","Linguiça de veado","鹿肉香肠",
"STR_CHEFZ_ITEM_VENISONSAUSAGE1","Fried venison sausage. Lean and aromatic.","Fried venison sausage. Lean and aromatic.","Opečená jelení klobása. Libová a aromatická.","Gebratene Wildwurst. Mager und aromatisch.","Жареная оленья колбаса. Постная и ароматная.","Smażona kiełbasa z jelenia. Chuda i aromatyczna.","Sült szarvaskolbász. Sovány és illatos.","Salsiccia di cervo cotta. Magra e aromatica.","Salchicha de ciervo frita. Magra y aromática.","Saucisse de cerf grillée. Maigre et parfumée.","煎熟的鹿肉香腸。油脂少，香氣足。","焼いた鹿肉ソーセージ。脂が少なく香りがよい。","Linguiça de veado frita. Magra e aromática.","煎熟的鹿肉香肠。油脂少，香气足。",
"STR_CHEFZ_ITEM_BOARSAUSAGE0","Boar Sausage","Boar Sausage","Klobása z divočáka","Wildschweinwurst","Колбаса из кабана","Kiełbasa z dzika","Vaddisznókolbász","Salsiccia di cinghiale","Salchicha de jabalí","Saucisse de sanglier","野豬香腸","猪肉ソーセージ","Linguiça de javali","野猪香肠",
"STR_CHEFZ_ITEM_BOARSAUSAGE1","Fried boar sausage. Strong and rustic.","Fried boar sausage. Strong and rustic.","Opečená klobása z divočáka. Výrazná a venkovská.","Gebratene Wildschweinwurst. Kräftig und rustikal.","Жареная колбаса из кабана. Крепкая и простая.","Smażona kiełbasa z dzika. Wyrazista i wiejska.","Sült vaddisznókolbász. Erőteljes és paraszti.","Salsiccia di cinghiale cotta. Decisa e rustica.","Salchicha de jabalí frita. Fuerte y rústica.","Saucisse de sanglier grillée. Puissante et rustique.","煎熟的野豬香腸。味重而粗獷。","焼いた猪肉ソーセージ。味が強く素朴。","Linguiça de javali frita. Forte e rústica.","煎熟的野猪香肠。味重而粗犷。",
"STR_CHEFZ_ITEM_HUNTERSAUSAGE0","Hunter Sausage","Hunter Sausage","Lovecká klobása","Jägerwurst","Охотничьи колбаски","Kiełbasa myśliwska","Vadászkolbász","Salsiccia del cacciatore","Salchicha de cazador","Saucisse du chasseur","獵人香腸","猟師のソーセージ","Linguiça de caçador","猎人香肠",
"STR_CHEFZ_ITEM_HUNTERSAUSAGE1","Fried hunter sausage. The best the chain has to offer.","Fried hunter sausage. The best the chain has to offer.","Opečená lovecká klobása. To nejlepší, co z celého řetězce vzejde.","Gebratene Jägerwurst. Das Beste, was die Kette hergibt.","Жареные охотничьи колбаски. Лучшее, что даёт вся цепочка.","Smażona kiełbasa myśliwska. Najlepsze, co daje cały łańcuch produkcji.","Sült vadászkolbász. A legjobb, amit a teljes folyamat adhat.","Salsiccia del cacciatore cotta. Il meglio che la filiera possa dare.","Salchicha de cazador frita. Lo mejor que da toda la cadena.","Saucisse du chasseur grillée. Le meilleur que la filière puisse donner.","煎熟的獵人香腸。整條產線最頂級的成品。","焼いた猟師のソーセージ。この工程で作れる最高の一品。","Linguiça de caçador frita. O melhor que toda a cadeia produz.","煎熟的猎人香肠。整条产线最顶级的成品。",
"STR_CHEFZ_ITEM_SPICYSAUSAGE0","Spicy Sausage","Spicy Sausage","Pikantní klobása","Pfefferwurst","Острая колбаса","Kiełbasa pikantna","Csípős kolbász","Salsiccia piccante","Chorizo picante","Saucisse piquante","辣味香腸","スパイシーソーセージ","Linguiça picante","辣味香肠",
"STR_CHEFZ_ITEM_SPICYSAUSAGE1","Fried and sharp. Warms from the inside.","Fried and sharp. Warms from the inside.","Opečená a pálivá. Zahřeje zevnitř.","Gebraten und scharf. Wärmt von innen.","Жареная и острая. Согревает изнутри.","Smażona i ostra. Rozgrzewa od środka.","Sütve, csípősen. Belülről melegít.","Cotta e piccante. Scalda da dentro.","Frito y picante. Calienta por dentro.","Grillée et relevée. Réchauffe de l'intérieur.","煎過又夠辣，從裡面暖起來。","焼き上げた辛口。体の芯から温まる。","Frita e picante. Aquece por dentro.","煎过又够辣，从里面暖起来。",
"STR_CHEFZ_ITEM_BEEFLEG0","Beef Leg","Beef Leg","Hovězí kýta","Rinderkeule","Говяжья нога","Udziec wołowy","Marhacomb","Coscia di manzo","Pierna de vacuno","Gigot de bœuf","牛腿","牛もも肉","Perna de boi","牛腿",
"STR_CHEFZ_ITEM_BEEFLEG1","A whole leg of beef, bone in. Far too big for the pan - cut it up first.","A whole leg of beef, bone in. Far too big for the pan - cut it up first.","Celá hovězí kýta s kostí. Na pánev je moc velká – nejdřív ji rozporcuj.","Eine ganze Rinderkeule mit Knochen. Viel zu groß für die Pfanne - erst zerteilen.","Целая говяжья нога с костью. Слишком велика для сковороды - сначала разделай.","Cały udziec wołowy z kością. Za duży na patelnię - najpierw go podziel.","Egész marhacomb csonttal. Túl nagy a serpenyőhöz - előbb darabold fel.","Una coscia intera di manzo, con l osso. Troppo grande per la padella: prima va tagliata.","Una pierna entera de vacuno, con hueso. Demasiado grande para la sartén: córtala primero.","Un gigot de bœuf entier, avec l os. Bien trop gros pour la poêle : découpe-le d abord.","帶骨的整條牛腿。太大放不進鍋裡，得先分切。","骨付きの牛もも肉の塊。フライパンには大きすぎる。まず切り分けよう。","Uma perna de boi inteira, com osso. Grande demais para a frigideira: corte-a primeiro.","带骨的整条牛腿。太大放不进锅里，得先切开。",
"STR_CHEFZ_ITEM_PORKLEG0","Pork Leg","Pork Leg","Vepřová kýta","Schweinekeule","Свиной окорок","Udziec wieprzowy","Sertéscomb","Coscia di maiale","Pierna de cerdo","Jambon de porc","豬腿","豚もも肉","Pernil de porco","猪腿",
"STR_CHEFZ_ITEM_PORKLEG1","A whole leg of pork, fatty and bone in. Cut it up before cooking.","A whole leg of pork, fatty and bone in. Cut it up before cooking.","Celá vepřová kýta s kostí, pěkně tučná. Před vařením ji rozporcuj.","Eine ganze Schweinekeule mit Knochen, schön fett. Vor dem Garen zerteilen.","Целый свиной окорок с костью, жирный. Перед готовкой разделай.","Cały udziec wieprzowy z kością, tłusty. Przed gotowaniem go podziel.","Egész sertéscomb csonttal, jó zsíros. Főzés előtt darabold fel.","Una coscia intera di maiale, grassa e con l osso. Tagliala prima di cucinarla.","Una pierna entera de cerdo, grasa y con hueso. Córtala antes de cocinarla.","Un jambon de porc entier, gras et avec l os. Découpe-le avant de cuisiner.","帶骨的整條豬腿，油脂豐厚。下鍋前先分切。","骨付きの豚もも肉の塊。脂が多い。調理する前に切り分けよう。","Um pernil de porco inteiro, gordo e com osso. Corte-o antes de cozinhar.","带骨的整条猪腿，油脂丰厚。下锅前先切开。",
"STR_CHEFZ_ITEM_VENISONLEG0","Venison Leg","Venison Leg","Jelení kýta","Wildkeule","Оленья нога","Udziec z jelenia","Szarvascomb","Coscia di cervo","Pierna de ciervo","Gigot de cerf","鹿腿","鹿もも肉","Perna de veado","鹿腿",
"STR_CHEFZ_ITEM_VENISONLEG1","A whole leg of deer, lean and bone in. Cut it up before cooking.","A whole leg of deer, lean and bone in. Cut it up before cooking.","Celá jelení kýta s kostí, libová. Před vařením ji rozporcuj.","Eine ganze Wildkeule mit Knochen, mager. Vor dem Garen zerteilen.","Целая оленья нога с костью, постная. Перед готовкой разделай.","Cały udziec z jelenia z kością, chudy. Przed gotowaniem go podziel.","Egész szarvascomb csonttal, sovány. Főzés előtt darabold fel.","Una coscia intera di cervo, magra e con l osso. Tagliala prima di cucinarla.","Una pierna entera de ciervo, magra y con hueso. Córtala antes de cocinarla.","Un gigot de cerf entier, maigre et avec l os. Découpe-le avant de cuisiner.","帶骨的整條鹿腿，肉質精瘦。下鍋前先分切。","骨付きの鹿もも肉の塊。赤身が多い。調理する前に切り分けよう。","Uma perna de veado inteira, magra e com osso. Corte-a antes de cozinhar.","带骨的整条鹿腿，肉质精瘦。下锅前先切开。",
"STR_CHEFZ_CAT_MEAT","Meat","Meat","Maso","Fleisch","Мясо","Mięso","Hús","Carne","Carne","Viande","肉類","肉","Carne","肉类",
"STR_CHEFZ_CAT_DOMESTIC_MEAT","Farm Meat","Farm Meat","Maso hospodářských zvířat","Nutztierfleisch","Мясо скота","Mięso hodowlane","Háziállathús","Carne d'allevamento","Carne de granja","Viande d'élevage","農場肉品","家畜肉","Carne de criação","农场肉类",
"STR_CHEFZ_CAT_WILD_MEAT","Game Meat","Game Meat","Zvěřina","Wildfleisch","Дичь","Dziczyzna","Vadhús","Selvaggina","Carne de caza","Gibier","野生獸肉","ジビエ","Carne de caça","野生兽肉",
"STR_CHEFZ_CAT_POULTRY","Poultry","Poultry","Drůbež","Geflügel","Птица","Drób","Baromfi","Pollame","Aves de corral","Volaille","家禽肉","家禽肉","Aves","禽类肉",
"STR_CHEFZ_CAT_PREDATOR_MEAT","Predator Meat","Predator Meat","Maso šelem","Raubtierfleisch","Мясо хищников","Mięso drapieżników","Ragadozóhús","Carne di predatori","Carne de depredador","Viande de prédateur","猛獸肉","猛獣肉","Carne de predador","猛兽肉",
"STR_CHEFZ_CAT_MINCED_MEAT","Minced Meat","Minced Meat","Mleté maso","Hackfleisch","Фарш","Mięso mielone","Darált hús","Carne macinata","Carne picada","Viande hachée","絞肉","ひき肉","Carne moída","绞肉",
"STR_CHEFZ_CAT_SAUSAGE","Sausage","Sausage","Klobásy","Wurst","Колбасы","Kiełbasy","Kolbászok","Salsicce","Embutidos","Saucisses","香腸","ソーセージ","Linguiças","香肠",
"STR_CHEFZ_CAT_FAT","Fat","Fat","Tuk","Fett","Жир","Tłuszcz","Zsír","Grasso","Grasa","Graisse","油脂","脂肪","Gordura","脂肪",
"STR_CHEFZ_CAT_BONE","Bones","Bones","Kosti","Knochen","Кости","Kości","Csontok","Ossa","Huesos","Os","骨頭","骨","Ossos","骨头",
"STR_CHEFZ_CAT_CASING","Casings","Casings","Střívka","Wursthüllen","Оболочки","Osłonki","Kolbászbelek","Budelli","Tripas","Boyaux","腸衣","ケーシング","Tripas","肠衣",
"STR_CHEFZ_CAT_PRIMAL_CUT","Primal Cuts","Primal Cuts","Velke dily","Grossteile","Крупный отруб","Duze partie","Nagy darabok","Tagli primari","Cortes primarios","Morceaux primaires","大分割肉","大分割肉","Cortes primarios","大分割肉",
