"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CHEFZ_DRIEDPASTA_DESC","Dried on a rack. Keeps for a long time.","Dried on a rack. Keeps for a long time.","Usušené na sušáku. Vydrží dlouho.","Auf dem Trockenrahmen getrocknet. Haelt lange.","Высушена на сушилке. Хранится долго.","Wysuszony na suszarce. Długo się przechowuje.","Szárítóállványon szárítva. Sokáig eltartható.","Essiccata su una rastrelliera. Si conserva a lungo.","Secada en un bastidor. Se conserva mucho tiempo.","Séchées sur un séchoir. Se conservent longtemps.","在晾架上風乾。可以長期保存。","乾燥ラックで干したもの。長期間保存できる。","Seco em um varal. Conserva-se por muito tempo.","在晾架上风干。可以长期保存。",
"STR_CHEFZ_BREAD","Bread","Bread","Chléb","Brot","Хлеб","Chleb","Kenyér","Pane","Pan","Pain","麵包","パン","Pão","面包",
"STR_CHEFZ_BREAD_DESC","A baked loaf.","A baked loaf.","Upečený bochník.","Ein gebackener Laib.","Испечённая буханка.","Upieczony bochenek.","Egy megsütött cipó.","Una pagnotta cotta al forno.","Una hogaza horneada.","Une miche cuite au four.","一條烤好的麵包。","焼き上がったパンのかたまり。","Um pão assado.","一条烤好的面包。",
"STR_CHEFZ_FLATBREAD","Flatbread","Flatbread","Placka","Fladenbrot","Лепёшка","Podpłomyk","Lepénykenyér","Piadina","Pan plano","Pain plat","薄餅","フラットブレッド","Pão achatado","薄饼",
"STR_CHEFZ_FLATBREAD_DESC","Unleavened bread from the pan.","Unleavened bread from the pan.","Nekynutý chléb z pánve.","Ungesaeuertes Brot aus der Pfanne.","Пресный хлеб со сковороды.","Przaśny chleb z patelni.","Kovásztalan kenyér a serpenyőből.","Pane azzimo cotto in padella.","Pan sin levadura hecho en la sartén.","Pain sans levain cuit à la poêle.","用平底鍋煎出的無酵餅。","フライパンで焼いた無発酵のパン。","Pão sem fermento feito na frigideira.","用平底锅煎出的无酵饼。",
"STR_CHEFZ_PROC_KNEAD","Knead Dough","Knead Dough","Prohníst těsto","Teig kneten","Замесить тесто","Wyrobić ciasto","Tészta gyúrása","Impastare","Amasar","Pétrir la pâte","揉麵團","生地をこねる","Amassar","揉面团",
"STR_CHEFZ_PROC_ROLL","Roll Out Dough","Roll Out Dough","Vyválet těsto","Teig ausrollen","Раскатать тесто","Rozwałkować ciasto","Tészta kinyújtása","Stendere l'impasto","Estirar la masa","Étaler la pâte","擀麵團","生地を伸ばす","Abrir a massa","擀面团",
"STR_CHEFZ_CAT_DOUGH","Dough","Dough","Těsto","Teig","Тесто","Ciasto","Tészta","Impasto","Masa","Pâte","麵團","生地","Massa","面团",
"STR_CHEFZ_CAT_PASTA","Pasta","Pasta","Těstoviny","Nudeln","Паста","Makaron","Tésztafélék","Pasta","Pasta","Pâtes","麵食","パスタ","Massas","面食",
"STR_CHEFZ_CAT_BREAD","Bread","Bread","Chléb","Brot","Хлеб","Chleb","Kenyér","Pane","Pan","Pain","麵包","パン","Pão","面包",
"STR_CHEFZ_TAG_BAKED_GOOD","Baked Good","Baked Good","Pečivo","Backware","Выпечка","Wypiek","Pékáru","Prodotto da forno","Producto de panadería","Produit de boulangerie","烘焙食品","ベーカリー製品","Produto de panificação","烘焙食品",
