"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CHEFZ_ITEM_SOLEFILLET1","Raw Sole fillet. Off the bone and ready for the pan, the pot or the drying rack.","Raw Sole fillet. Off the bone and ready for the pan, the pot or the drying rack.","Syrový filet z ryby Jazyk mořský. Vykostěný, připravený na pánev, do hrnce nebo na sušák.","Rohes Filet vom Seezunge. Von der Gräte gelöst – bereit für Pfanne, Topf oder Dörrgestell.","Сырое филе (Морской язык). Снято с кости — для сковороды, котелка или сушки.","Surowy filet (Sola). Zdjęty z ości, gotowy na patelnię, do garnka lub na suszarkę.","Nyers Nyelvhal filé. Csontról leszedve — serpenyőbe, fazékba vagy szárítóra.","Filetto crudo di Sogliola. Diliscato, pronto per la padella, la pentola o l'essiccatoio.","Filete crudo de Lenguado. Sin espinas, listo para la sartén, la olla o el secadero.","Filet cru de Sole. Désarêté, prêt pour la poêle, la marmite ou le séchoir.","生的鰨魚魚片。已去骨，可下鍋、入湯或上架風乾。","シタビラメの生の切り身。骨を外してあるので、焼いても煮ても干してもよい。","Filé cru de Linguado. Sem espinhas, pronto para a frigideira, a panela ou o secador.","生的鳎鱼鱼片。已去骨，可下锅、入汤或上架风干。",
"STR_CHEFZ_ITEM_SEABASSFILLET0","Sea Bass Fillet","Sea Bass Fillet","Mořský vlk – filet","Wolfsbarsch-Filet","Сибас — филе","Labraks – filet","Farkassügér filé","Branzino – filetto","Lubina – filete","Bar – filet","海鱸切片","スズキの切り身","Filé de Robalo","海鲈切片",
"STR_CHEFZ_ITEM_SEABASSFILLET1","Raw Sea Bass fillet. Off the bone and ready for the pan, the pot or the drying rack.","Raw Sea Bass fillet. Off the bone and ready for the pan, the pot or the drying rack.","Syrový filet z ryby Mořský vlk. Vykostěný, připravený na pánev, do hrnce nebo na sušák.","Rohes Filet vom Wolfsbarsch. Von der Gräte gelöst – bereit für Pfanne, Topf oder Dörrgestell.","Сырое филе (Сибас). Снято с кости — для сковороды, котелка или сушки.","Surowy filet (Labraks). Zdjęty z ości, gotowy na patelnię, do garnka lub na suszarkę.","Nyers Farkassügér filé. Csontról leszedve — serpenyőbe, fazékba vagy szárítóra.","Filetto crudo di Branzino. Diliscato, pronto per la padella, la pentola o l'essiccatoio.","Filete crudo de Lubina. Sin espinas, listo para la sartén, la olla o el secadero.","Filet cru de Bar. Désarêté, prêt pour la poêle, la marmite ou le séchoir.","生的海鱸魚片。已去骨，可下鍋、入湯或上架風乾。","スズキの生の切り身。骨を外してあるので、焼いても煮ても干してもよい。","Filé cru de Robalo. Sem espinhas, pronto para a frigideira, a panela ou o secador.","生的海鲈鱼片。已去骨，可下锅、入汤或上架风干。",
"STR_CHEFZ_ITEM_REDMULLETFILLET0","Red Mullet Fillet","Red Mullet Fillet","Parmice – filet","Meerbarbe-Filet","Барабулька — филе","Barwena – filet","Tengeri márna filé","Triglia – filetto","Salmonete – filete","Rouget – filet","紅鬚魚切片","ヒメジの切り身","Filé de Salmonete","红须鱼切片",
"STR_CHEFZ_ITEM_REDMULLETFILLET1","Raw Red Mullet fillet. Off the bone and ready for the pan, the pot or the drying rack.","Raw Red Mullet fillet. Off the bone and ready for the pan, the pot or the drying rack.","Syrový filet z ryby Parmice. Vykostěný, připravený na pánev, do hrnce nebo na sušák.","Rohes Filet vom Meerbarbe. Von der Gräte gelöst – bereit für Pfanne, Topf oder Dörrgestell.","Сырое филе (Барабулька). Снято с кости — для сковороды, котелка или сушки.","Surowy filet (Barwena). Zdjęty z ości, gotowy na patelnię, do garnka lub na suszarkę.","Nyers Tengeri márna filé. Csontról leszedve — serpenyőbe, fazékba vagy szárítóra.","Filetto crudo di Triglia. Diliscato, pronto per la padella, la pentola o l'essiccatoio.","Filete crudo de Salmonete. Sin espinas, listo para la sartén, la olla o el secadero.","Filet cru de Rouget. Désarêté, prêt pour la poêle, la marmite ou le séchoir.","生的紅鬚魚魚片。已去骨，可下鍋、入湯或上架風乾。","ヒメジの生の切り身。骨を外してあるので、焼いても煮ても干してもよい。","Filé cru de Salmonete. Sem espinhas, pronto para a frigideira, a panela ou o secador.","生的红须鱼鱼片。已去骨，可下锅、入汤或上架风干。",
"STR_CHEFZ_ITEM_CONGERFILLET0","Conger Eel Fillet","Conger Eel Fillet","Úhořovec mořský – filet","Meeraal-Filet","Морской угорь — филе","Konger – filet","Tengeri angolna filé","Grongo – filetto","Congrio – filete","Congre – filet","康吉鰻切片","アナゴの切り身","Filé de Congro","康吉鳗切片",
"STR_CHEFZ_ITEM_CONGERFILLET1","Raw Conger Eel fillet. Off the bone and ready for the pan, the pot or the drying rack.","Raw Conger Eel fillet. Off the bone and ready for the pan, the pot or the drying rack.","Syrový filet z ryby Úhořovec mořský. Vykostěný, připravený na pánev, do hrnce nebo na sušák.","Rohes Filet vom Meeraal. Von der Gräte gelöst – bereit für Pfanne, Topf oder Dörrgestell.","Сырое филе (Морской угорь). Снято с кости — для сковороды, котелка или сушки.","Surowy filet (Konger). Zdjęty z ości, gotowy na patelnię, do garnka lub na suszarkę.","Nyers Tengeri angolna filé. Csontról leszedve — serpenyőbe, fazékba vagy szárítóra.","Filetto crudo di Grongo. Diliscato, pronto per la padella, la pentola o l'essiccatoio.","Filete crudo de Congrio. Sin espinas, listo para la sartén, la olla o el secadero.","Filet cru de Congre. Désarêté, prêt pour la poêle, la marmite ou le séchoir.","生的康吉鰻魚片。已去骨，可下鍋、入湯或上架風乾。","アナゴの生の切り身。骨を外してあるので、焼いても煮ても干してもよい。","Filé cru de Congro. Sem espinhas, pronto para a frigideira, a panela ou o secador.","生的康吉鳗鱼片。已去骨，可下锅、入汤或上架风干。",
"STR_CHEFZ_ITEM_HORSEMACKERELFILLET0","Horse Mackerel Fillet","Horse Mackerel Fillet","Kranas – filet","Stöckermakrele-Filet","Ставрида — филе","Ostrobok – filet","Fattyúmakréla filé","Suro – filetto","Jurel – filete","Chinchard – filet","竹筴魚切片","アジの切り身","Filé de Carapau","竹荚鱼切片",
"STR_CHEFZ_ITEM_HORSEMACKERELFILLET1","Raw Horse Mackerel fillet. Off the bone and ready for the pan, the pot or the drying rack.","Raw Horse Mackerel fillet. Off the bone and ready for the pan, the pot or the drying rack.","Syrový filet z ryby Kranas. Vykostěný, připravený na pánev, do hrnce nebo na sušák.","Rohes Filet vom Stöckermakrele. Von der Gräte gelöst – bereit für Pfanne, Topf oder Dörrgestell.","Сырое филе (Ставрида). Снято с кости — для сковороды, котелка или сушки.","Surowy filet (Ostrobok). Zdjęty z ości, gotowy na patelnię, do garnka lub na suszarkę.","Nyers Fattyúmakréla filé. Csontról leszedve — serpenyőbe, fazékba vagy szárítóra.","Filetto crudo di Suro. Diliscato, pronto per la padella, la pentola o l'essiccatoio.","Filete crudo de Jurel. Sin espinas, listo para la sartén, la olla o el secadero.","Filet cru de Chinchard. Désarêté, prêt pour la poêle, la marmite ou le séchoir.","生的竹筴魚魚片。已去骨，可下鍋、入湯或上架風乾。","アジの生の切り身。骨を外してあるので、焼いても煮ても干してもよい。","Filé cru de Carapau. Sem espinhas, pronto para a frigideira, a panela ou o secador.","生的竹荚鱼鱼片。已去骨，可下锅、入汤或上架风干。",
"STR_CHEFZ_ITEM_JAPANESESARDINEFILLET0","Japanese Sardine Fillet","Japanese Sardine Fillet","Sardinka japonská – filet","Japanische Sardine-Filet","Японская сардина — филе","Sardynka japońska – filet","Japán szardínia filé","Sardina giapponese – filetto","Sardina japonesa – filete","Sardine japonaise – filet","日本沙丁魚切片","マイワシの切り身","Filé de Sardinha japonesa","日本沙丁鱼切片",
"STR_CHEFZ_ITEM_JAPANESESARDINEFILLET1","Raw Japanese Sardine fillet. Off the bone and ready for the pan, the pot or the drying rack.","Raw Japanese Sardine fillet. Off the bone and ready for the pan, the pot or the drying rack.","Syrový filet z ryby Sardinka japonská. Vykostěný, připravený na pánev, do hrnce nebo na sušák.","Rohes Filet vom Japanische Sardine. Von der Gräte gelöst – bereit für Pfanne, Topf oder Dörrgestell.","Сырое филе (Японская сардина). Снято с кости — для сковороды, котелка или сушки.","Surowy filet (Sardynka japońska). Zdjęty z ości, gotowy na patelnię, do garnka lub na suszarkę.","Nyers Japán szardínia filé. Csontról leszedve — serpenyőbe, fazékba vagy szárítóra.","Filetto crudo di Sardina giapponese. Diliscato, pronto per la padella, la pentola o l'essiccatoio.","Filete crudo de Sardina japonesa. Sin espinas, listo para la sartén, la olla o el secadero.","Filet cru de Sardine japonaise. Désarêté, prêt pour la poêle, la marmite ou le séchoir.","生的日本沙丁魚魚片。已去骨，可下鍋、入湯或上架風乾。","マイワシの生の切り身。骨を外してあるので、焼いても煮ても干してもよい。","Filé cru de Sardinha japonesa. Sem espinhas, pronto para a frigideira, a panela ou o secador.","生的日本沙丁鱼鱼片。已去骨，可下锅、入汤或上架风干。",
"STR_CHEFZ_ITEM_ROCKFISHFILLET0","Rockfish Fillet","Rockfish Fillet","Okouník – filet","Felsenbarsch-Filet","Морской окунь — филе","Skalnik – filet","Sziklasügér filé","Scorfano – filetto","Cabracho – filete","Sébaste – filet","褐菖鮋切片","カサゴの切り身","Filé de Cantarilho","褐菖鲉切片",
"STR_CHEFZ_ITEM_ROCKFISHFILLET1","Raw Rockfish fillet. Off the bone and ready for the pan, the pot or the drying rack.","Raw Rockfish fillet. Off the bone and ready for the pan, the pot or the drying rack.","Syrový filet z ryby Okouník. Vykostěný, připravený na pánev, do hrnce nebo na sušák.","Rohes Filet vom Felsenbarsch. Von der Gräte gelöst – bereit für Pfanne, Topf oder Dörrgestell.","Сырое филе (Морской окунь). Снято с кости — для сковороды, котелка или сушки.","Surowy filet (Skalnik). Zdjęty z ości, gotowy na patelnię, do garnka lub na suszarkę.","Nyers Sziklasügér filé. Csontról leszedve — serpenyőbe, fazékba vagy szárítóra.","Filetto crudo di Scorfano. Diliscato, pronto per la padella, la pentola o l'essiccatoio.","Filete crudo de Cabracho. Sin espinas, listo para la sartén, la olla o el secadero.","Filet cru de Sébaste. Désarêté, prêt pour la poêle, la marmite ou le séchoir.","生的褐菖鮋魚片。已去骨，可下鍋、入湯或上架風乾。","カサゴの生の切り身。骨を外してあるので、焼いても煮ても干してもよい。","Filé cru de Cantarilho. Sem espinhas, pronto para a frigideira, a panela ou o secador.","生的褐菖鲉鱼片。已去骨，可下锅、入汤或上架风干。",
"STR_CHEFZ_ITEM_BLUEFINTUNAFILLET0","Bluefin Tuna Fillet","Bluefin Tuna Fillet","Tuňák obecný – filet","Roter Thunfisch-Filet","Голубой тунец — филе","Tuńczyk błękitnopłetwy – filet","Kékúszójú tonhal filé","Tonno rosso – filetto","Atún rojo – filete","Thon rouge – filet","黑鮪魚切片","クロマグロの切り身","Filé de Atum-rabilho","蓝鳍金枪鱼切片",
"STR_CHEFZ_ITEM_BLUEFINTUNAFILLET1","Raw Bluefin Tuna fillet. Off the bone and ready for the pan, the pot or the drying rack.","Raw Bluefin Tuna fillet. Off the bone and ready for the pan, the pot or the drying rack.","Syrový filet z ryby Tuňák obecný. Vykostěný, připravený na pánev, do hrnce nebo na sušák.","Rohes Filet vom Roter Thunfisch. Von der Gräte gelöst – bereit für Pfanne, Topf oder Dörrgestell.","Сырое филе (Голубой тунец). Снято с кости — для сковороды, котелка или сушки.","Surowy filet (Tuńczyk błękitnopłetwy). Zdjęty z ości, gotowy na patelnię, do garnka lub na suszarkę.","Nyers Kékúszójú tonhal filé. Csontról leszedve — serpenyőbe, fazékba vagy szárítóra.","Filetto crudo di Tonno rosso. Diliscato, pronto per la padella, la pentola o l'essiccatoio.","Filete crudo de Atún rojo. Sin espinas, listo para la sartén, la olla o el secadero.","Filet cru de Thon rouge. Désarêté, prêt pour la poêle, la marmite ou le séchoir.","生的黑鮪魚魚片。已去骨，可下鍋、入湯或上架風乾。","クロマグロの生の切り身。骨を外してあるので、焼いても煮ても干してもよい。","Filé cru de Atum-rabilho. Sem espinhas, pronto para a frigideira, a panela ou o secador.","生的蓝鳍金枪鱼鱼片。已去骨，可下锅、入汤或上架风干。",
"STR_CHEFZ_ITEM_YELLOWFINTUNAFILLET0","Yellowfin Tuna Fillet","Yellowfin Tuna Fillet","Tuňák žlutoploutvý – filet","Gelbflossen-Thunfisch-Filet","Жёлтопёрый тунец — филе","Tuńczyk żółtopłetwy – filet","Sárgaúszójú tonhal filé","Tonno albacora – filetto","Atún de aleta amarilla – filete","Thon jaune – filet","黃鰭鮪切片","キハダマグロの切り身","Filé de Atum-albacora","黄鳍金枪鱼切片",
"STR_CHEFZ_ITEM_YELLOWFINTUNAFILLET1","Raw Yellowfin Tuna fillet. Off the bone and ready for the pan, the pot or the drying rack.","Raw Yellowfin Tuna fillet. Off the bone and ready for the pan, the pot or the drying rack.","Syrový filet z ryby Tuňák žlutoploutvý. Vykostěný, připravený na pánev, do hrnce nebo na sušák.","Rohes Filet vom Gelbflossen-Thunfisch. Von der Gräte gelöst – bereit für Pfanne, Topf oder Dörrgestell.","Сырое филе (Жёлтопёрый тунец). Снято с кости — для сковороды, котелка или сушки.","Surowy filet (Tuńczyk żółtopłetwy). Zdjęty z ości, gotowy na patelnię, do garnka lub na suszarkę.","Nyers Sárgaúszójú tonhal filé. Csontról leszedve — serpenyőbe, fazékba vagy szárítóra.","Filetto crudo di Tonno albacora. Diliscato, pronto per la padella, la pentola o l'essiccatoio.","Filete crudo de Atún de aleta amarilla. Sin espinas, listo para la sartén, la olla o el secadero.","Filet cru de Thon jaune. Désarêté, prêt pour la poêle, la marmite ou le séchoir.","生的黃鰭鮪魚片。已去骨，可下鍋、入湯或上架風乾。","キハダマグロの生の切り身。骨を外してあるので、焼いても煮ても干してもよい。","Filé cru de Atum-albacora. Sem espinhas, pronto para a frigideira, a panela ou o secador.","生的黄鳍金枪鱼鱼片。已去骨，可下锅、入汤或上架风干。",
"STR_CHEFZ_ITEM_REDSNAPPERFILLET0","Red Snapper Fillet","Red Snapper Fillet","Chňapal červený – filet","Roter Schnapper-Filet","Красный люциан — филе","Lucjan czerwony – filet","Vörös csattogóhal filé","Lutiano rosso – filetto","Pargo rojo – filete","Vivaneau rouge – filet","紅笛鯛切片","レッドスナッパーの切り身","Filé de Pargo-vermelho","红笛鲷切片",
"STR_CHEFZ_ITEM_REDSNAPPERFILLET1","Raw Red Snapper fillet. Off the bone and ready for the pan, the pot or the drying rack.","Raw Red Snapper fillet. Off the bone and ready for the pan, the pot or the drying rack.","Syrový filet z ryby Chňapal červený. Vykostěný, připravený na pánev, do hrnce nebo na sušák.","Rohes Filet vom Roter Schnapper. Von der Gräte gelöst – bereit für Pfanne, Topf oder Dörrgestell.","Сырое филе (Красный люциан). Снято с кости — для сковороды, котелка или сушки.","Surowy filet (Lucjan czerwony). Zdjęty z ości, gotowy na patelnię, do garnka lub na suszarkę.","Nyers Vörös csattogóhal filé. Csontról leszedve — serpenyőbe, fazékba vagy szárítóra.","Filetto crudo di Lutiano rosso. Diliscato, pronto per la padella, la pentola o l'essiccatoio.","Filete crudo de Pargo rojo. Sin espinas, listo para la sartén, la olla o el secadero.","Filet cru de Vivaneau rouge. Désarêté, prêt pour la poêle, la marmite ou le séchoir.","生的紅笛鯛魚片。已去骨，可下鍋、入湯或上架風乾。","レッドスナッパーの生の切り身。骨を外してあるので、焼いても煮ても干してもよい。","Filé cru de Pargo-vermelho. Sem espinhas, pronto para a frigideira, a panela ou o secador.","生的红笛鲷鱼片。已去骨，可下锅、入汤或上架风干。",
"STR_CHEFZ_ITEM_GIANTGROUPERFILLET0","Giant Grouper Fillet","Giant Grouper Fillet","Kanic obrovský – filet","Riesenzackenbarsch-Filet","Гигантский групер — филе","Granik olbrzymi – filet","Óriás fűrészsügér filé","Cernia gigante – filetto","Mero gigante – filete","Mérou géant – filet","龍膽石斑切片","タマカイの切り身","Filé de Garoupa-gigante","龙胆石斑切片",
"STR_CHEFZ_ITEM_GIANTGROUPERFILLET1","Raw Giant Grouper fillet. Off the bone and ready for the pan, the pot or the drying rack.","Raw Giant Grouper fillet. Off the bone and ready for the pan, the pot or the drying rack.","Syrový filet z ryby Kanic obrovský. Vykostěný, připravený na pánev, do hrnce nebo na sušák.","Rohes Filet vom Riesenzackenbarsch. Von der Gräte gelöst – bereit für Pfanne, Topf oder Dörrgestell.","Сырое филе (Гигантский групер). Снято с кости — для сковороды, котелка или сушки.","Surowy filet (Granik olbrzymi). Zdjęty z ości, gotowy na patelnię, do garnka lub na suszarkę.","Nyers Óriás fűrészsügér filé. Csontról leszedve — serpenyőbe, fazékba vagy szárítóra.","Filetto crudo di Cernia gigante. Diliscato, pronto per la padella, la pentola o l'essiccatoio.","Filete crudo de Mero gigante. Sin espinas, listo para la sartén, la olla o el secadero.","Filet cru de Mérou géant. Désarêté, prêt pour la poêle, la marmite ou le séchoir.","生的龍膽石斑魚片。已去骨，可下鍋、入湯或上架風乾。","タマカイの生の切り身。骨を外してあるので、焼いても煮ても干してもよい。","Filé cru de Garoupa-gigante. Sem espinhas, pronto para a frigideira, a panela ou o secador.","生的龙胆石斑鱼片。已去骨，可下锅、入汤或上架风干。",
"STR_CHEFZ_ITEM_MAHIMAHIFILLET0","Mahi-Mahi Fillet","Mahi-Mahi Fillet","Zlak nachový – filet","Mahi-Mahi-Filet","Махи-махи — филе","Koryfena – filet","Delfinhal filé","Lampuga – filetto","Dorado – filete","Coryphène – filet","鬼頭刀切片","シイラの切り身","Filé de Dourado-do-mar","鬼头刀切片",
"STR_CHEFZ_ITEM_MAHIMAHIFILLET1","Raw Mahi-Mahi fillet. Off the bone and ready for the pan, the pot or the drying rack.","Raw Mahi-Mahi fillet. Off the bone and ready for the pan, the pot or the drying rack.","Syrový filet z ryby Zlak nachový. Vykostěný, připravený na pánev, do hrnce nebo na sušák.","Rohes Filet vom Mahi-Mahi. Von der Gräte gelöst – bereit für Pfanne, Topf oder Dörrgestell.","Сырое филе (Махи-махи). Снято с кости — для сковороды, котелка или сушки.","Surowy filet (Koryfena). Zdjęty z ości, gotowy na patelnię, do garnka lub na suszarkę.","Nyers Delfinhal filé. Csontról leszedve — serpenyőbe, fazékba vagy szárítóra.","Filetto crudo di Lampuga. Diliscato, pronto per la padella, la pentola o l'essiccatoio.","Filete crudo de Dorado. Sin espinas, listo para la sartén, la olla o el secadero.","Filet cru de Coryphène. Désarêté, prêt pour la poêle, la marmite ou le séchoir.","生的鬼頭刀魚片。已去骨，可下鍋、入湯或上架風乾。","シイラの生の切り身。骨を外してあるので、焼いても煮ても干してもよい。","Filé cru de Dourado-do-mar. Sem espinhas, pronto para a frigideira, a panela ou o secador.","生的鬼头刀鱼片。已去骨，可下锅、入汤或上架风干。",
"STR_CHEFZ_ITEM_GIANTTREVALLYFILLET0","Giant Trevally Fillet","Giant Trevally Fillet","Kranas obrovský – filet","Große Stachelmakrele-Filet","Гигантский каранкс — филе","Karanks olbrzymi – filet","Óriás tüskésmakréla filé","Carangide gigante – filetto","Jurel gigante – filete","Carangue géante – filet","浪人鰺切片","ロウニンアジの切り身","Filé de Xaréu-gigante","浪人鲹切片",
"STR_CHEFZ_ITEM_GIANTTREVALLYFILLET1","Raw Giant Trevally fillet. Off the bone and ready for the pan, the pot or the drying rack.","Raw Giant Trevally fillet. Off the bone and ready for the pan, the pot or the drying rack.","Syrový filet z ryby Kranas obrovský. Vykostěný, připravený na pánev, do hrnce nebo na sušák.","Rohes Filet vom Große Stachelmakrele. Von der Gräte gelöst – bereit für Pfanne, Topf oder Dörrgestell.","Сырое филе (Гигантский каранкс). Снято с кости — для сковороды, котелка или сушки.","Surowy filet (Karanks olbrzymi). Zdjęty z ości, gotowy na patelnię, do garnka lub na suszarkę.","Nyers Óriás tüskésmakréla filé. Csontról leszedve — serpenyőbe, fazékba vagy szárítóra.","Filetto crudo di Carangide gigante. Diliscato, pronto per la padella, la pentola o l'essiccatoio.","Filete crudo de Jurel gigante. Sin espinas, listo para la sartén, la olla o el secadero.","Filet cru de Carangue géante. Désarêté, prêt pour la poêle, la marmite ou le séchoir.","生的浪人鰺魚片。已去骨，可下鍋、入湯或上架風乾。","ロウニンアジの生の切り身。骨を外してあるので、焼いても煮ても干してもよい。","Filé cru de Xaréu-gigante. Sem espinhas, pronto para a frigideira, a panela ou o secador.","生的浪人鲹鱼片。已去骨，可下锅、入汤或上架风干。",
"STR_CHEFZ_ITEM_BLUEMARLINFILLET0","Blue Marlin Fillet","Blue Marlin Fillet","Marlín modrý – filet","Blauer Marlin-Filet","Голубой марлин — филе","Marlin błękitny – filet","Kék marlin filé","Marlin blu – filetto","Aguja azul – filete","Makaire bleu – filet","藍槍魚切片","クロカジキの切り身","Filé de Espadim-azul","蓝枪鱼切片",
