"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CHEFZ_ITEM_SMOKEDFISH0","Smoked Fish","Smoked Fish","Uzená ryba","Räucherfisch","Копчёная рыба","Wędzona ryba","Füstölt hal","Pesce affumicato","Pescado ahumado","Poisson fumé","煙燻魚","燻製魚","Peixe defumado","烟熏鱼",
"STR_CHEFZ_ITEM_SMOKEDFISH1","Golden brown from the smoker. The shortest road from a fresh catch to a lasting meal.","Golden brown from the smoker. The shortest road from a fresh catch to a lasting meal.","Zlatohnědá z udírny. Nejkratší cesta od čerstvého úlovku k trvanlivé zásobě.","Goldbraun aus dem Räucherschrank. Der kürzeste Weg vom frischen Fang zum haltbaren Vorrat.","Золотисто-коричневая из коптильни. Кратчайший путь от свежего улова к долгому запасу.","Złocistobrązowa prosto z wędzarni. Najkrótsza droga od świeżego połowu do trwałego zapasu.","Aranybarnára füstölve. A legrövidebb út a friss fogástól a tartós élelemig.","Dorato appena uscito dall'affumicatoio. La via più breve da una pesca fresca a una scorta duratura.","Dorado recién salido del ahumadero. El camino más corto de una captura fresca a una reserva duradera.","Doré à la sortie du fumoir. Le plus court chemin entre une prise fraîche et une réserve qui tient.","剛出煙燻櫃的金黃色澤。從新鮮漁獲到長期存糧的最短路徑。","燻製器から出したての黄金色。新鮮な釣果を保存食に変える、いちばんの近道。","Dourado recém-saído do defumador. O caminho mais curto de uma pesca fresca a uma reserva duradoura.","刚出烟熏柜的金黄色泽。从新鲜渔获到长期存粮的最短路径。",
"STR_CHEFZ_ITEM_SMOKEDSAUSAGE0","Smoked Sausage","Smoked Sausage","Uzená klobása","Räucherwurst","Копчёная колбаса","Kiełbasa wędzona","Füstölt kolbász","Salsiccia affumicata","Salchicha ahumada","Saucisse fumée","煙燻香腸","燻製ソーセージ","Linguiça defumada","烟熏香肠",
"STR_CHEFZ_ITEM_SMOKEDSAUSAGE1","Sausage hung in the smoker. Rich, dense and ready to travel.","Sausage hung in the smoker. Rich, dense and ready to travel.","Klobása pověšená v udírně. Vydatná, hutná a připravená na cestu.","Im Räucherschrank gehängte Wurst. Kräftig, dicht und reisefertig.","Колбаса, подвешенная в коптильне. Сытная, плотная и готовая в дорогу.","Kiełbasa zawieszona w wędzarni. Tłusta, zwarta i gotowa w drogę.","A füstölőben felakasztott kolbász. Zsíros, tömör és útra kész.","Salsiccia appesa nell'affumicatoio. Saporita, compatta e pronta per il viaggio.","Salchicha colgada en el ahumadero. Sabrosa, densa y lista para el camino.","Saucisse suspendue dans le fumoir. Riche, dense et prête pour la route.","掛在煙燻櫃裡的香腸。濃郁、紮實，隨時可以上路。","燻製器に吊るしたソーセージ。濃厚で身が詰まり、持ち歩きにも向く。","Linguiça pendurada no defumador. Encorpada, densa e pronta para a estrada.","挂在烟熏柜里的香肠。浓郁、扎实，随时可以上路。",
"STR_CHEFZ_ITEM_DRYSAUSAGE0","Dry Sausage","Dry Sausage","Trvanlivý salám","Trockenwurst","Сыровяленая колбаса","Kiełbasa sucha","Szárazkolbász","Salame stagionato","Embutido seco","Saucisson sec","風乾香腸","ドライソーセージ","Salame seco","风干香肠",
"STR_CHEFZ_ITEM_DRYSAUSAGE1","Hard cured sausage. The longest lasting food in the kitchen.","Hard cured sausage. The longest lasting food in the kitchen.","Tvrdě vyzrálý salám. Nejtrvanlivější potravina v celé kuchyni.","Hart durchgetrocknete Dauerwurst. Das haltbarste Lebensmittel der Küche.","Твёрдая сыровяленая колбаса. Самая долгохранящаяся еда на кухне.","Twarda, dojrzewająca kiełbasa. Najtrwalsze jedzenie w całej kuchni.","Keményre érlelt kolbász. A konyha legtartósabb élelmiszere.","Salame a stagionatura dura. L'alimento più duraturo della cucina.","Embutido curado y duro. El alimento que más aguanta de toda la cocina.","Saucisson dur et bien affiné. L'aliment qui se conserve le plus longtemps de la cuisine.","徹底風乾的硬質香腸。廚房裡最耐放的食物。","硬く熟成させたソーセージ。台所で最も日持ちする食料。","Salame curado e duro. O alimento mais durável da cozinha.","彻底风干的硬质香肠。厨房里最耐放的食物。",
"STR_CHEFZ_STATE_RAW","Raw","Raw","Syrové","Roh","Сырое","Surowe","Nyers","Crudo","Crudo","Cru","生的","生","Cru","生的",
"STR_CHEFZ_STATE_PREPARED","Prepared","Prepared","Připravené","Vorbereitet","Подготовлено","Przygotowane","Előkészített","Preparato","Preparado","Préparé","已處理","下ごしらえ済み","Preparado","已处理",
"STR_CHEFZ_STATE_COOKED","Cooked","Cooked","Uvařené","Gekocht","Варёное","Ugotowane","Főtt","Cotto","Cocido","Cuit","煮熟","煮た","Cozido","煮熟",
"STR_CHEFZ_STATE_BAKED","Baked","Baked","Upečené","Gebacken","Запечённое","Upieczone","Sütőben sült","Al forno","Horneado","Cuit au four","烘烤","焼いた","Assado","烘烤",
"STR_CHEFZ_STATE_FRIED","Fried","Fried","Osmažené","Gebraten","Жареное","Usmażone","Serpenyőben sült","Fritto","Frito","Frit","油煎","炒めた","Frito","油煎",
"STR_CHEFZ_STATE_SALTED","Salted","Salted","Nasolené","Gepökelt","Солёное","Peklowane","Sózott","Sotto sale","En salazón","Salé","鹽醃","塩漬け","Salgado","盐腌",
"STR_CHEFZ_STATE_SMOKED","Smoked","Smoked","Uzené","Geräuchert","Копчёное","Wędzone","Füstölt","Affumicato","Ahumado","Fumé","煙燻","燻製","Defumado","烟熏",
"STR_CHEFZ_STATE_DRIED","Dried","Dried","Sušené","Getrocknet","Сушёное","Suszone","Szárított","Essiccato","Seco","Séché","乾燥","乾燥","Seco","干燥",
"STR_CHEFZ_STATE_BURNT","Burnt","Burnt","Spálené","Verbrannt","Сгоревшее","Spalone","Odaégett","Bruciato","Quemado","Brûlé","燒焦","焦げた","Queimado","烧焦",
"STR_CHEFZ_STATE_ROTTEN","Rotten","Rotten","Zkažené","Verdorben","Испорченное","Zepsute","Romlott","Marcio","Podrido","Pourri","腐壞","腐った","Estragado","腐坏",
"STR_CHEFZ_CAT_FISH","Fish","Fish","Ryby","Fisch","Рыба","Ryby","Hal","Pesce","Pescado","Poisson","魚類","魚","Peixe","鱼类",
"STR_CHEFZ_TAG_PRESERVED","Preserved","Preserved","Konzervované","Konserviert","Консервированное","Konserwowane","Tartósított","Conservato","Conservado","Conservé","保存食品","保存食","Conservado","保存食品",
