"Language","original","english","german",
"STR_CHEFZ_Leg_Venison_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_MeatDumplings","Meat dumplings","Meat dumplings","Fleischklößchen",
"STR_CHEFZ_MeatDumplings_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_Sausage_Breadplate","Sausage breadplate","Sausage breadplate","Wurstbrotteller",
"STR_CHEFZ_Sausage_Breadplate_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_Sausage_Cooked","Cooked sausage","Cooked sausage","Gekochte Wurst",
"STR_CHEFZ_Sausage_Cooked_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_Sausage_Dry","Dry sausage","Dry sausage","Getrocknete Wurst",
"STR_CHEFZ_Sausage_Dry_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_Sausage_Raw","Raw sausage","Raw sausage","Rohe Wurst",
"STR_CHEFZ_Sausage_Raw_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_Sausage_Raw_2","Raw sausage","Raw sausage","Rohe Wurst",
"STR_CHEFZ_Sausage_Raw_2_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_Sausage_Raw_Boar","Raw boar sausage","Raw boar sausage","Rohe Wildscheinwurst",
"STR_CHEFZ_Sausage_Raw_Boar_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_Sausage_Raw_Hunter","Raw hunter sausage","Raw hunter sausage","Rohe Jägerwurst",
"STR_CHEFZ_Sausage_Raw_Hunter_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_Sausage_Raw_Pork","Raw pork sausage","Raw pork sausage","Rohe Schweinswurst",
"STR_CHEFZ_Sausage_Raw_Pork_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_Sausage_Raw_Spicy","Raw spicy sausage","Raw spicy sausage","Scharfe Rohwurst",
"STR_CHEFZ_Sausage_Raw_Spicy_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_Sausage_Raw_Venison","Raw venison sausage","Raw venison sausage","Rohe Hirschwurst",
"STR_CHEFZ_Sausage_Raw_Venison_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_Sausage_Smoked","Smoked Sausage","Smoked Sausage","Geräucherte Wurst",
"STR_CHEFZ_Sausage_Smoked_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",

"STR_CHEFZ_Carrot","Carrot","Carrot","Karrotte",
"STR_CHEFZ_Carrot_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_Cabbage","Cabbage","Cabbage","Salatkopf",
"STR_CHEFZ_Cabbage_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_Garlic","Garlic","Garlic","Knoblauch",
"STR_CHEFZ_Garlic_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_Parsley","Parsley","Parsley","Petersilie",
"STR_CHEFZ_Parsley_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_RedOnion","Red onion","Red onion","Rote Zwiebel",
"STR_CHEFZ_RedOnion_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_Rosmary","Rosmary","Rosmary","Rosmarin",
"STR_CHEFZ_Rosmary_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",

"STR_CHEFZ_Corn_Cob","Corncob","Corncob","Maiskolben",
"STR_CHEFZ_Corn_Cob_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_Corn","Corn plant","Corn plant","Maispflanze",
"STR_CHEFZ_Corn_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",

"STR_CHEFZ_BEEHIVE","Beehive","Beehive","Bienenstock",
"STR_CHEFZ_BEEHIVE_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_ButterChurn","Butterchurn","Butterchurn","Butterfass",
"STR_CHEFZ_ButterChurn_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_CheesePress","Cheese press","Cheese press","Käsepresse",
"STR_CHEFZ_CheesePress_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_GrainMill","Grain mill","Grain mill","Getreidemühle",
"STR_CHEFZ_GrainMill_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_MeatGrinder","Meat grinder","Meat grinder","Fleischwolf",
"STR_CHEFZ_MeatGrinder_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_Mortar","Mortar","Mortar","Mörser",
"STR_CHEFZ_Mortar_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_Smoker","Smoker","Smoker","Smoker",
"STR_CHEFZ_Smoker_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_DryRack","Drying rack","Drying rack","Trockengestell",
"STR_CHEFZ_DryRack_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
"STR_CHEFZ_DryRack_Hook","Hook for Meat","Hook for Meat","Haken für Fleisch",
"STR_CHEFZ_Meal","Pan-cooked dish","Pan-cooked dish","Pfannengericht",
"STR_CHEFZ_Meal_DESC","PLATZHALTER","PLATZHALTER","PLATZHALTER",
